Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2013,12,05,08,36,2.19,-1277.83,1191.73,-560.14, 97.50,137.00,-17.77,11.23,5.86e+02,4.12e+02
2013,12,05,08,36,3.44,-1276.58,1193.25,-559.66, 97.46,136.93,-17.76,11.22,8.75e+02,5.03e+02
2013,12,05,08,36,15.69,-1264.18,1208.10,-554.93, 97.16,136.30,-17.61,11.18,2.89e+02,2.89e+02
2013,12,05,08,36,16.94,-1262.91,1209.61,-554.44, 97.13,136.23,-17.59,11.18,2.89e+02,2.89e+02
2013,12,05,08,36,29.18,-1250.35,1224.29,-549.64, 96.82,135.60,-17.44,11.14,5.86e+02,4.12e+02
2013,12,05,08,36,30.43,-1249.06,1225.78,-549.14, 96.79,135.54,-17.42,11.13,5.86e+02,4.12e+02
2013,12,05,08,36,42.68,-1236.33,1240.30,-544.26, 96.48,134.91,-17.26,11.09,2.63e+03,8.73e+02
2013,12,05,08,36,43.93,-1235.03,1241.78,-543.76, 96.44,134.84,-17.25,11.08,2.90e+02,2.90e+02
2013,12,05,08,36,56.18,-1222.13,1256.14,-538.81, 96.13,134.21,-17.09,11.04,2.90e+02,2.90e+02
2013,12,05,08,36,57.43,-1220.81,1257.60,-538.30, 96.09,134.15,-17.07,11.04,0.00e+00,0.00e+00
2013,12,05,08,37,9.68,-1207.76,1271.79,-533.28, 95.77,133.52,-16.91,11.00,8.76e+02,5.04e+02
2013,12,05,08,37,10.93,-1206.42,1273.23,-532.76, 95.74,133.46,-16.90,10.99,1.46e+03,6.51e+02
2013,12,05,08,37,23.18,-1193.20,1287.26,-527.67, 95.41,132.83,-16.73,10.95,1.46e+03,6.51e+02
2013,12,05,08,37,24.43,-1191.85,1288.68,-527.15, 95.38,132.76,-16.72,10.95,1.17e+03,5.83e+02
2013,12,05,08,37,36.68,-1178.47,1302.54,-521.98, 95.05,132.14,-16.55,10.90,1.17e+03,5.83e+02
2013,12,05,08,37,37.93,-1177.10,1303.95,-521.45, 95.02,132.07,-16.53,10.90,8.77e+02,5.04e+02
2013,12,05,08,37,50.17,-1163.58,1317.62,-516.23, 94.69,131.45,-16.37,10.86,0.00e+00,0.00e+00
2013,12,05,08,37,51.42,-1162.20,1319.01,-515.69, 94.65,131.38,-16.35,10.85,8.77e+02,5.04e+02
