Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,02,10,21,43,43.09,1745.55,-315.69,153.42, 43.09,-10.25, 4.94, 8.18,4.38e+03,1.12e+03
2014,02,10,21,43,44.34,1745.13,-317.59,154.19, 43.08,-10.31, 4.97, 8.18,4.68e+03,1.16e+03
2014,02,10,21,44,3.09,1738.51,-346.01,165.58, 42.92,-11.26, 5.34, 8.11,5.26e+03,1.23e+03
2014,02,10,21,44,4.34,1738.05,-347.90,166.34, 42.91,-11.32, 5.36, 8.11,6.43e+03,1.36e+03
2014,02,10,21,44,23.09,1730.86,-376.21,177.67, 42.76,-12.26, 5.73, 8.05,3.51e+03,1.01e+03
2014,02,10,21,44,24.34,1730.36,-378.09,178.43, 42.75,-12.33, 5.75, 8.04,4.38e+03,1.13e+03
2014,02,10,21,44,43.08,1722.60,-406.26,189.70, 42.60,-13.27, 6.12, 7.98,3.80e+03,1.05e+03
2014,02,10,21,44,44.33,1722.06,-408.13,190.45, 42.59,-13.33, 6.14, 7.98,5.27e+03,1.23e+03
2014,02,10,21,45,3.08,1713.74,-436.18,201.67, 42.44,-14.28, 6.51, 7.92,4.68e+03,1.16e+03
2014,02,10,21,45,4.33,1713.17,-438.04,202.42, 42.43,-14.34, 6.53, 7.91,4.39e+03,1.13e+03
2014,02,10,21,45,23.08,1704.28,-465.95,213.57, 42.29,-15.29, 6.89, 7.85,5.27e+03,1.23e+03
2014,02,10,21,45,24.33,1703.67,-467.80,214.31, 42.28,-15.35, 6.92, 7.84,5.56e+03,1.27e+03
2014,02,10,21,45,43.08,1694.22,-495.56,225.40, 42.14,-16.30, 7.28, 7.78,4.98e+03,1.20e+03
2014,02,10,21,45,44.33,1693.57,-497.40,226.13, 42.13,-16.37, 7.30, 7.78,3.81e+03,1.05e+03
2014,02,10,21,46,3.08,1683.57,-524.99,237.14, 42.00,-17.32, 7.66, 7.72,5.28e+03,1.24e+03
2014,02,10,21,46,4.33,1682.89,-526.82,237.88, 41.99,-17.38, 7.68, 7.71,7.91e+03,1.51e+03
2014,02,10,21,46,23.08,1672.33,-554.24,248.81, 41.86,-18.34, 8.04, 7.65,3.81e+03,1.05e+03
2014,02,10,21,46,24.33,1671.61,-556.06,249.53, 41.86,-18.40, 8.06, 7.64,3.81e+03,1.05e+03
2014,02,10,21,46,43.07,1660.51,-583.28,260.38, 41.73,-19.35, 8.42, 7.58,3.81e+03,1.05e+03
2014,02,10,21,46,44.32,1659.76,-585.09,261.10, 41.73,-19.42, 8.44, 7.58,6.16e+03,1.34e+03
2014,02,10,21,47,3.07,1648.11,-612.13,271.87, 41.61,-20.38, 8.79, 7.51,4.11e+03,1.09e+03
2014,02,10,21,47,4.32,1647.31,-613.92,272.58, 41.60,-20.44, 8.81, 7.51,5.58e+03,1.27e+03
2014,02,10,21,47,23.06,1635.13,-640.75,283.25, 41.49,-21.40, 9.16, 7.45,7.05e+03,1.43e+03
2014,02,10,21,47,24.31,1634.30,-642.53,283.96, 41.48,-21.46, 9.19, 7.44,4.41e+03,1.13e+03
2014,02,10,21,47,43.06,1621.57,-669.16,294.54, 41.37,-22.42, 9.53, 7.38,7.06e+03,1.43e+03
2014,02,10,21,47,44.31,1620.71,-670.92,295.25, 41.36,-22.49, 9.55, 7.38,6.17e+03,1.34e+03
2014,02,10,21,48,3.06,1607.45,-697.33,305.73, 41.26,-23.45, 9.90, 7.31,7.06e+03,1.43e+03
2014,02,10,21,48,4.31,1606.55,-699.08,306.43, 41.25,-23.52, 9.92, 7.31,4.71e+03,1.17e+03
2014,02,10,21,48,23.06,1592.76,-725.26,316.82, 41.16,-24.48,10.26, 7.24,7.07e+03,1.43e+03
2014,02,10,21,48,24.31,1591.82,-727.00,317.51, 41.15,-24.55,10.28, 7.24,5.30e+03,1.24e+03
2014,02,10,21,48,43.06,1577.51,-752.94,327.79, 41.06,-25.51,10.62, 7.18,6.78e+03,1.40e+03
2014,02,10,21,48,44.31,1576.54,-754.66,328.47, 41.05,-25.58,10.64, 7.17,7.08e+03,1.44e+03
2014,02,10,21,49,3.06,1561.71,-780.35,338.65, 40.96,-26.55,10.98, 7.11,6.78e+03,1.41e+03
2014,02,10,21,49,4.31,1560.71,-782.05,339.33, 40.96,-26.61,11.00, 7.10,7.67e+03,1.50e+03
2014,02,10,21,49,23.05,1545.38,-807.47,349.39, 40.88,-27.59,11.33, 7.04,6.79e+03,1.41e+03
2014,02,10,21,49,24.30,1544.34,-809.16,350.05, 40.87,-27.65,11.35, 7.04,6.50e+03,1.38e+03
2014,02,10,21,49,43.05,1528.49,-834.33,360.01, 40.80,-28.63,11.68, 6.97,5.91e+03,1.31e+03
2014,02,10,21,49,44.30,1527.41,-836.00,360.67, 40.79,-28.69,11.70, 6.97,1.03e+04,1.74e+03
2014,02,10,21,50,3.05,1511.06,-860.89,370.50, 40.72,-29.67,12.03, 6.90,5.92e+03,1.31e+03
