Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,02,08,12,42,22.17,1633.83,729.65, 88.60, 54.15,24.06, 2.83, 8.54,2.01e+03,7.55e+02
2014,02,08,12,42,23.42,1634.57,727.86, 89.38, 54.13,24.00, 2.86, 8.54,3.16e+03,9.47e+02
2014,02,08,12,42,24.67,1635.30,726.08, 90.16, 54.11,23.94, 2.88, 8.53,5.46e+03,1.24e+03
2014,02,08,12,43,3.67,1656.99,669.84,114.51, 53.53,22.01, 3.67, 8.41,4.03e+03,1.07e+03
2014,02,08,12,43,19.41,1665.13,646.90,124.30, 53.30,21.23, 3.98, 8.35,2.30e+03,8.09e+02
2014,02,08,12,43,20.66,1665.76,645.07,125.07, 53.28,21.17, 4.01, 8.35,3.16e+03,9.48e+02
2014,02,08,12,43,21.91,1666.39,643.24,125.85, 53.26,21.11, 4.03, 8.35,3.16e+03,9.48e+02
2014,02,08,12,44,0.91,1684.90,585.75,149.97, 52.71,19.17, 4.81, 8.22,3.46e+03,9.92e+02
2014,02,08,12,44,16.65,1691.74,562.33,159.65, 52.49,18.39, 5.12, 8.17,2.59e+03,8.59e+02
2014,02,08,12,44,17.90,1692.27,560.46,160.42, 52.47,18.32, 5.14, 8.16,5.19e+03,1.22e+03
2014,02,08,12,44,19.15,1692.80,558.60,161.18, 52.45,18.26, 5.17, 8.16,3.74e+03,1.03e+03
2014,02,08,12,44,58.15,1708.06,500.01,185.00, 51.93,16.32, 5.93, 8.03,3.75e+03,1.03e+03
2014,02,08,12,45,13.90,1713.60,476.16,194.56, 51.73,15.53, 6.24, 7.98,4.62e+03,1.15e+03
2014,02,08,12,45,15.15,1714.02,474.27,195.31, 51.72,15.47, 6.27, 7.97,3.75e+03,1.03e+03
2014,02,08,12,45,16.40,1714.44,472.37,196.07, 51.70,15.40, 6.29, 7.97,4.04e+03,1.07e+03
2014,02,08,12,45,55.40,1726.42,412.85,219.53, 51.22,13.45, 7.05, 7.84,5.21e+03,1.22e+03
2014,02,08,12,46,11.14,1730.61,388.67,228.91, 51.03,12.66, 7.35, 7.79,5.21e+03,1.22e+03
