Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ne Abundance (/cc),STD (/cc)
2013,11,23,23,50,17.77,399.74,-1649.11,-632.12, 73.39,-76.37,-20.43,11.78,0.00e+00,   NaN
2013,11,23,23,50,19.02,397.80,-1649.68,-631.73, 73.34,-76.44,-20.42,11.77,0.00e+00,   NaN
2013,11,23,23,50,20.27,395.85,-1650.25,-631.35, 73.30,-76.51,-20.41,11.77,0.00e+00,   NaN
2013,11,23,23,50,39.02,366.59,-1658.50,-625.41, 72.61,-77.54,-20.21,11.70,0.00e+00,   NaN
2013,11,23,23,51,15.01,310.14,-1672.96,-613.52, 71.30,-79.50,-19.83,11.57,0.00e+00,   NaN
2013,11,23,23,51,16.26,308.17,-1673.43,-613.10, 71.25,-79.57,-19.81,11.56,0.00e+00,   NaN
2013,11,23,23,51,17.51,306.21,-1673.90,-612.67, 71.21,-79.63,-19.80,11.56,0.00e+00,   NaN
2013,11,23,23,51,36.26,276.65,-1680.65,-606.19, 70.53,-80.65,-19.59,11.49,0.00e+00,3.61e+02
2013,11,23,23,52,12.26,219.67,-1692.24,-593.25, 69.22,-82.60,-19.17,11.36,1.45e+01,3.98e+02
2013,11,23,23,52,13.51,217.69,-1692.61,-592.79, 69.18,-82.67,-19.16,11.36,0.00e+00,3.85e+02
2013,11,23,23,52,14.76,215.71,-1692.98,-592.33, 69.13,-82.74,-19.14,11.35,0.00e+00,3.75e+02
2013,11,23,23,52,33.51,185.93,-1698.22,-585.31, 68.45,-83.75,-18.91,11.28,1.88e+01,3.99e+02
2013,11,23,23,53,9.50,128.62,-1706.88,-571.36, 67.16,-85.69,-18.46,11.15,5.61e+02,4.32e+02
2013,11,23,23,53,10.75,126.63,-1707.15,-570.87, 67.12,-85.76,-18.44,11.15,0.00e+00,3.77e+02
2013,11,23,23,53,12.00,124.64,-1707.41,-570.37, 67.07,-85.82,-18.43,11.15,0.00e+00,3.77e+02
2013,11,23,23,53,30.75, 94.72,-1711.13,-562.84, 66.41,-86.83,-18.18,11.08,0.00e+00,3.39e+02
2013,11,23,23,54,6.75, 37.20,-1716.83,-547.92, 65.13,-88.76,-17.70,10.95,0.00e+00,3.74e+02
2013,11,23,23,54,8.00, 35.21,-1717.00,-547.39, 65.09,-88.83,-17.68,10.95,0.00e+00,3.65e+02
2013,11,23,23,54,9.25, 33.21,-1717.16,-546.86, 65.04,-88.89,-17.66,10.94,0.00e+00,3.70e+02
2013,11,23,23,54,28.00,  3.23,-1719.33,-538.83, 64.38,-89.89,-17.40,10.87,1.03e+02,4.16e+02
2013,11,23,23,55,3.99,-54.31,-1722.05,-522.97, 63.13,-91.81,-16.89,10.75,0.00e+00,3.80e+02
2013,11,23,23,55,5.24,-56.30,-1722.11,-522.41, 63.08,-91.87,-16.87,10.74,0.00e+00,3.75e+02
2013,11,23,23,55,6.49,-58.30,-1722.17,-521.85, 63.04,-91.94,-16.85,10.74,0.00e+00,3.99e+02
