Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ar Abundance (/cc),STD (/cc)
2014,01,24,15,25,52.50,-647.13,-1614.68,-457.05, 61.18,-111.84,-14.72,11.38,1.74e+03,1.35e+02
2014,01,24,15,25,53.75,-649.01,-1614.04,-456.44, 61.13,-111.91,-14.70,11.38,1.82e+03,1.38e+02
2014,01,24,15,26,12.50,-677.13,-1604.19,-447.23, 60.37,-112.88,-14.40,11.31,1.78e+03,1.37e+02
2014,01,24,15,26,13.75,-679.00,-1603.52,-446.61, 60.32,-112.95,-14.38,11.31,2.07e+03,1.48e+02
2014,01,24,15,26,32.49,-706.89,-1593.17,-437.27, 59.56,-113.93,-14.08,11.24,1.97e+03,1.44e+02
2014,01,24,15,26,33.74,-708.74,-1592.46,-436.64, 59.51,-113.99,-14.06,11.24,1.96e+03,1.44e+02
2014,01,24,15,26,52.49,-736.42,-1581.59,-427.15, 58.76,-114.97,-13.76,11.18,1.84e+03,1.39e+02
2014,01,24,15,26,53.74,-738.26,-1580.85,-426.51, 58.71,-115.03,-13.74,11.17,1.73e+03,1.35e+02
2014,01,24,15,27,12.49,-765.70,-1569.48,-416.88, 57.97,-116.01,-13.43,11.11,1.95e+03,1.43e+02
2014,01,24,15,27,13.74,-767.52,-1568.70,-416.24, 57.92,-116.07,-13.41,11.10,1.76e+03,1.36e+02
2014,01,24,15,27,32.48,-794.70,-1556.83,-406.48, 57.18,-117.04,-13.09,11.04,2.20e+03,1.52e+02
2014,01,24,15,27,33.73,-796.51,-1556.03,-405.83, 57.13,-117.11,-13.07,11.03,1.69e+03,1.33e+02
2014,01,24,15,27,52.48,-823.45,-1543.65,-395.94, 56.40,-118.08,-12.75,10.97,1.88e+03,1.41e+02
2014,01,24,15,27,53.73,-825.24,-1542.81,-395.28, 56.35,-118.14,-12.73,10.96,2.13e+03,1.50e+02
2014,01,24,15,28,12.48,-851.92,-1529.95,-385.26, 55.62,-119.11,-12.41,10.90,2.25e+03,1.54e+02
2014,01,24,15,28,13.73,-853.69,-1529.07,-384.59, 55.57,-119.17,-12.39,10.89,1.96e+03,1.44e+02
2014,01,24,15,28,32.48,-880.09,-1515.71,-374.45, 54.85,-120.14,-12.06,10.83,1.78e+03,1.37e+02
2014,01,24,15,28,33.73,-881.84,-1514.81,-373.77, 54.80,-120.21,-12.04,10.83,2.00e+03,1.45e+02
2014,01,24,15,28,52.48,-907.97,-1500.96,-363.52, 54.09,-121.17,-11.71,10.76,2.22e+03,1.53e+02
2014,01,24,15,28,53.73,-909.70,-1500.02,-362.83, 54.04,-121.24,-11.69,10.76,1.93e+03,1.43e+02
2014,01,24,15,29,12.48,-935.53,-1485.70,-352.46, 53.34,-122.20,-11.35,10.69,1.80e+03,1.38e+02
2014,01,24,15,29,13.73,-937.24,-1484.72,-351.76, 53.29,-122.26,-11.33,10.69,2.06e+03,1.47e+02
2014,01,24,15,29,32.47,-962.76,-1469.93,-341.28, 52.59,-123.22,-10.99,10.62,2.35e+03,1.57e+02
2014,01,24,15,29,33.72,-964.45,-1468.92,-340.58, 52.54,-123.29,-10.97,10.62,2.03e+03,1.46e+02
2014,01,24,15,29,52.47,-989.67,-1453.64,-329.98, 51.85,-124.25,-10.63,10.56,1.80e+03,1.38e+02
2014,01,24,15,29,53.72,-991.34,-1452.61,-329.27, 51.80,-124.31,-10.60,10.55,2.31e+03,1.56e+02
2014,01,24,15,30,12.47,-1016.24,-1436.86,-318.57, 51.12,-125.27,-10.26,10.49,1.88e+03,1.41e+02
2014,01,24,15,30,13.72,-1017.89,-1435.79,-317.85, 51.07,-125.33,-10.24,10.48,2.09e+03,1.48e+02
2014,01,24,15,30,32.46,-1042.44,-1419.59,-307.06, 50.39,-126.29,-9.89,10.42,2.10e+03,1.49e+02
2014,01,24,15,30,33.71,-1044.07,-1418.49,-306.33, 50.35,-126.35,-9.87,10.42,2.06e+03,1.47e+02
2014,01,24,15,30,52.46,-1068.30,-1401.82,-295.43, 49.68,-127.31,-9.52,10.35,2.18e+03,1.52e+02
2014,01,24,15,30,53.71,-1069.91,-1400.69,-294.70, 49.63,-127.37,-9.49,10.35,2.37e+03,1.58e+02
2014,01,24,15,31,12.46,-1093.79,-1383.57,-283.70, 48.97,-128.33,-9.14,10.28,2.27e+03,1.55e+02
2014,01,24,15,31,13.71,-1095.37,-1382.41,-282.97, 48.93,-128.39,-9.11,10.28,2.15e+03,1.50e+02
2014,01,24,15,31,32.46,-1118.91,-1364.83,-271.88, 48.27,-129.35,-8.76,10.22,2.05e+03,1.47e+02
2014,01,24,15,31,33.71,-1120.46,-1363.64,-271.13, 48.23,-129.41,-8.73,10.21,2.41e+03,1.60e+02
2014,01,24,15,31,52.46,-1143.63,-1345.62,-259.96, 47.58,-130.36,-8.37,10.15,2.33e+03,1.57e+02
2014,01,24,15,31,53.71,-1145.16,-1344.41,-259.21, 47.54,-130.42,-8.35,10.15,2.21e+03,1.53e+02
2014,01,24,15,32,12.46,-1167.96,-1325.95,-247.95, 46.91,-131.38,-7.99,10.08,2.52e+03,1.63e+02
2014,01,24,15,32,13.71,-1169.46,-1324.70,-247.19, 46.86,-131.44,-7.96,10.08,2.69e+03,1.69e+02
