Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2013,12,24,12,28,39.72,-92.47,-1712.23,-532.05, 57.98,-93.09,-17.24,11.41,8.77e+02,5.04e+02
2013,12,24,12,28,40.97,-94.48,-1712.25,-531.52, 57.94,-93.16,-17.22,11.40,0.00e+00,0.00e+00
2013,12,24,12,28,59.72,-124.65,-1712.22,-523.38, 57.36,-94.16,-16.95,11.34,2.90e+02,2.90e+02
2013,12,24,12,29,0.97,-126.66,-1712.20,-522.84, 57.32,-94.23,-16.94,11.33,2.90e+02,2.90e+02
2013,12,24,12,29,19.72,-156.78,-1711.62,-514.54, 56.75,-95.23,-16.67,11.26,8.77e+02,5.04e+02
2013,12,24,12,29,20.97,-158.79,-1711.57,-513.98, 56.71,-95.30,-16.65,11.26,5.87e+02,4.13e+02
2013,12,24,12,29,39.71,-188.85,-1710.44,-505.52, 56.15,-96.30,-16.37,11.19,2.35e+03,8.26e+02
2013,12,24,12,29,40.96,-190.85,-1710.35,-504.95, 56.11,-96.37,-16.35,11.19,5.88e+02,4.13e+02
2013,12,24,12,29,59.71,-220.86,-1708.67,-496.33, 55.55,-97.37,-16.07,11.12,8.78e+02,5.05e+02
2013,12,24,12,30,0.96,-222.86,-1708.54,-495.75, 55.52,-97.43,-16.05,11.12,2.90e+02,2.90e+02
2013,12,24,12,30,19.71,-252.80,-1706.32,-486.96, 54.97,-98.43,-15.76,11.05,1.47e+03,6.52e+02
2013,12,24,12,30,20.96,-254.80,-1706.16,-486.37, 54.93,-98.49,-15.75,11.05,8.78e+02,5.05e+02
2013,12,24,12,30,39.71,-284.66,-1703.39,-477.44, 54.39,-99.49,-15.45,10.98,5.88e+02,4.13e+02
2013,12,24,12,30,40.96,-286.64,-1703.18,-476.83, 54.35,-99.55,-15.43,10.98,2.05e+03,7.72e+02
2013,12,24,12,30,59.71,-316.41,-1699.87,-467.75, 53.81,-100.54,-15.14,10.91,5.88e+02,4.13e+02
2013,12,24,12,31,0.96,-318.39,-1699.63,-467.13, 53.78,-100.61,-15.12,10.91,0.00e+00,0.00e+00
2013,12,24,12,31,19.71,-348.06,-1695.76,-457.90, 53.25,-101.60,-14.82,10.84,8.79e+02,5.06e+02
2013,12,24,12,31,20.96,-350.04,-1695.49,-457.27, 53.21,-101.66,-14.80,10.83,1.18e+03,5.85e+02
2013,12,24,12,31,39.70,-379.57,-1691.08,-447.89, 52.69,-102.65,-14.49,10.77,1.18e+03,5.85e+02
2013,12,24,12,31,40.95,-381.54,-1690.77,-447.26, 52.66,-102.72,-14.47,10.76,8.80e+02,5.06e+02
2013,12,24,12,31,59.70,-410.97,-1685.81,-437.73, 52.15,-103.70,-14.16,10.70,8.80e+02,5.06e+02
2013,12,24,12,32,0.95,-412.93,-1685.47,-437.09, 52.11,-103.77,-14.14,10.69,5.89e+02,4.14e+02
2013,12,24,12,32,19.69,-442.22,-1679.97,-427.43, 51.61,-104.75,-13.82,10.63,8.81e+02,5.06e+02
2013,12,24,12,32,20.94,-444.17,-1679.59,-426.78, 51.58,-104.81,-13.80,10.62,1.18e+03,5.86e+02
2013,12,24,12,32,39.69,-473.32,-1673.55,-416.98, 51.08,-105.79,-13.48,10.56,5.90e+02,4.15e+02
2013,12,24,12,32,40.94,-475.26,-1673.13,-416.32, 51.05,-105.86,-13.46,10.56,2.06e+03,7.75e+02
2013,12,24,12,32,59.69,-504.27,-1666.55,-406.38, 50.56,-106.83,-13.14,10.49,1.77e+03,7.18e+02
2013,12,24,12,33,0.94,-506.20,-1666.09,-405.71, 50.53,-106.90,-13.12,10.49,1.18e+03,5.87e+02
2013,12,24,12,33,19.69,-535.04,-1658.97,-395.64, 50.05,-107.88,-12.79,10.42,1.77e+03,7.19e+02
2013,12,24,12,33,20.94,-536.96,-1658.48,-394.96, 50.02,-107.94,-12.77,10.42,2.92e+02,2.92e+02
2013,12,24,12,33,39.69,-565.63,-1650.83,-384.76, 49.55,-108.91,-12.43,10.35,5.91e+02,4.15e+02
2013,12,24,12,33,40.94,-567.53,-1650.30,-384.08, 49.52,-108.98,-12.41,10.35,1.47e+03,6.56e+02
2013,12,24,12,33,59.69,-596.02,-1642.11,-373.76, 49.06,-109.95,-12.08,10.28,8.83e+02,5.08e+02
2013,12,24,12,34,0.94,-597.91,-1641.54,-373.06, 49.03,-110.01,-12.05,10.28,1.47e+03,6.56e+02
2013,12,24,12,34,19.68,-626.19,-1632.83,-362.63, 48.58,-110.98,-11.71,10.21,5.92e+02,4.16e+02
2013,12,24,12,34,20.93,-628.07,-1632.23,-361.93, 48.55,-111.05,-11.69,10.21,5.92e+02,4.16e+02
2013,12,24,12,34,39.68,-656.16,-1622.97,-351.36, 48.11,-112.01,-11.35,10.15,2.92e+02,2.92e+02
2013,12,24,12,34,40.93,-658.03,-1622.34,-350.66, 48.08,-112.08,-11.33,10.14,1.18e+03,5.89e+02
2013,12,24,12,34,59.68,-685.91,-1612.56,-339.98, 47.65,-113.04,-10.98,10.08,0.00e+00,0.00e+00
2013,12,24,12,35,0.93,-687.76,-1611.89,-339.27, 47.62,-113.11,-10.96,10.07,0.00e+00,0.00e+00
2013,12,24,12,35,19.68,-715.41,-1601.58,-328.48, 47.20,-114.07,-10.61,10.01,5.93e+02,4.17e+02
2013,12,24,12,35,20.93,-717.25,-1600.88,-327.76, 47.17,-114.13,-10.58,10.00,5.93e+02,4.17e+02
2013,12,24,12,35,39.67,-744.66,-1590.06,-316.88, 46.75,-115.09,-10.23, 9.94,1.19e+03,5.90e+02
2013,12,24,12,35,40.92,-746.48,-1589.32,-316.15, 46.73,-115.16,-10.21, 9.94,1.19e+03,5.90e+02
2013,12,24,12,35,59.67,-773.66,-1577.97,-305.15, 46.32,-116.12,-9.85, 9.87,1.48e+03,6.59e+02
2013,12,24,12,36,0.92,-775.46,-1577.20,-304.42, 46.30,-116.18,-9.83, 9.87,1.19e+03,5.90e+02
2013,12,24,12,36,19.67,-802.39,-1565.34,-293.33, 45.90,-117.14,-9.47, 9.80,1.19e+03,5.91e+02
2013,12,24,12,36,20.92,-804.17,-1564.54,-292.58, 45.88,-117.20,-9.44, 9.80,8.88e+02,5.10e+02
2013,12,24,12,36,39.67,-830.84,-1552.17,-281.40, 45.49,-118.16,-9.08, 9.74,5.95e+02,4.18e+02
2013,12,24,12,36,40.92,-832.61,-1551.33,-280.65, 45.47,-118.22,-9.06, 9.73,8.88e+02,5.11e+02
2013,12,24,12,36,59.67,-859.00,-1538.45,-269.37, 45.09,-119.18,-8.69, 9.67,5.95e+02,4.18e+02
2013,12,24,12,37,0.92,-860.75,-1537.58,-268.61, 45.07,-119.24,-8.67, 9.67,5.95e+02,4.18e+02
2013,12,24,12,37,19.67,-886.87,-1524.20,-257.25, 44.70,-120.19,-8.30, 9.60,8.90e+02,5.11e+02
2013,12,24,12,37,20.92,-888.60,-1523.29,-256.49, 44.68,-120.26,-8.28, 9.60,2.94e+02,2.94e+02
2013,12,24,12,37,39.66,-914.41,-1509.42,-245.05, 44.32,-121.21,-7.91, 9.53,1.19e+03,5.92e+02
2013,12,24,12,37,40.91,-916.12,-1508.48,-244.28, 44.30,-121.27,-7.88, 9.53,2.94e+02,2.94e+02
2013,12,24,12,37,59.66,-941.64,-1494.11,-232.75, 43.96,-122.22,-7.51, 9.47,2.94e+02,2.94e+02
2013,12,24,12,38,0.91,-943.33,-1493.14,-231.98, 43.93,-122.28,-7.48, 9.46,1.19e+03,5.93e+02
2013,12,24,12,38,19.66,-968.55,-1478.28,-220.38, 43.60,-123.23,-7.11, 9.40,1.19e+03,5.93e+02
2013,12,24,12,38,20.91,-970.22,-1477.27,-219.60, 43.58,-123.30,-7.08, 9.40,8.91e+02,5.12e+02
2013,12,24,12,38,39.66,-995.12,-1461.93,-207.93, 43.26,-124.24,-6.71, 9.33,1.49e+03,6.63e+02
2013,12,24,12,38,40.91,-996.77,-1460.89,-207.14, 43.23,-124.31,-6.68, 9.33,8.92e+02,5.13e+02
2013,12,24,12,38,59.66,-1021.34,-1445.07,-195.40, 42.92,-125.25,-6.30, 9.27,8.92e+02,5.13e+02
2013,12,24,12,39,0.91,-1022.97,-1444.00,-194.62, 42.90,-125.31,-6.28, 9.26,2.95e+02,2.95e+02
2013,12,24,12,39,19.66,-1047.21,-1427.71,-182.81, 42.60,-126.26,-5.89, 9.20,1.49e+03,6.63e+02
2013,12,24,12,39,20.91,-1048.81,-1426.60,-182.02, 42.58,-126.32,-5.87, 9.20,2.95e+02,2.95e+02
2013,12,24,12,39,39.65,-1072.69,-1409.85,-170.16, 42.29,-127.27,-5.49, 9.13,8.94e+02,5.14e+02
2013,12,24,12,39,40.90,-1074.27,-1408.72,-169.37, 42.27,-127.33,-5.46, 9.13,5.98e+02,4.20e+02
2013,12,24,12,39,59.65,-1097.82,-1391.49,-157.45, 42.00,-128.27,-5.08, 9.07,2.39e+03,8.41e+02
2013,12,24,12,40,0.90,-1099.37,-1390.33,-156.66, 41.98,-128.33,-5.05, 9.06,5.99e+02,4.21e+02
2013,12,24,12,40,19.65,-1122.56,-1372.65,-144.69, 41.71,-129.28,-4.66, 9.00,1.80e+03,7.29e+02
2013,12,24,12,40,20.90,-1124.09,-1371.46,-143.89, 41.69,-129.34,-4.64, 9.00,1.80e+03,7.29e+02
2013,12,24,12,40,39.65,-1146.90,-1353.33,-131.87, 41.44,-130.28,-4.25, 8.93,1.49e+03,6.65e+02
