Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ar Abundance (/cc),STD (/cc)
2014,03,08,00,36,37.29,  7.43,1790.32,-330.08, 83.11,89.76,-10.45,11.22,8.53e+02,9.49e+01
2014,03,08,00,36,38.54,  9.35,1790.40,-329.38, 83.06,89.70,-10.42,11.22,8.74e+02,9.61e+01
2014,03,08,00,36,39.79, 11.27,1790.47,-328.67, 83.02,89.64,-10.40,11.21,9.81e+02,1.02e+02
2014,03,08,00,36,52.29, 30.49,1791.07,-321.57, 82.56,89.02,-10.18,11.17,1.05e+03,1.06e+02
2014,03,08,00,37,34.54, 95.42,1791.39,-297.27, 81.00,86.95,-9.41,11.04,1.20e+03,1.13e+02
2014,03,08,00,37,35.79, 97.34,1791.36,-296.55, 80.95,86.89,-9.39,11.03,1.05e+03,1.05e+02
2014,03,08,00,37,37.04, 99.26,1791.33,-295.82, 80.90,86.83,-9.36,11.03,1.12e+03,1.09e+02
2014,03,08,00,37,49.54,118.44,1790.88,-288.54, 80.44,86.22,-9.13,10.99,1.32e+03,1.18e+02
2014,03,08,00,38,31.78,183.14,1787.66,-263.67, 78.85,84.15,-8.35,10.85,9.47e+02,1.00e+02
2014,03,08,00,38,33.03,185.05,1787.52,-262.93, 78.81,84.09,-8.32,10.84,9.47e+02,1.00e+02
2014,03,08,00,38,34.28,186.96,1787.38,-262.19, 78.76,84.03,-8.30,10.84,1.05e+03,1.05e+02
2014,03,08,00,38,46.78,206.05,1785.88,-254.75, 78.29,83.42,-8.07,10.80,1.22e+03,1.14e+02
2014,03,08,00,39,29.03,270.37,1779.10,-229.36, 76.68,81.36,-7.26,10.66,1.11e+03,1.08e+02
2014,03,08,00,39,30.28,272.27,1778.86,-228.60, 76.63,81.30,-7.24,10.66,1.47e+03,1.25e+02
2014,03,08,00,39,31.53,274.17,1778.61,-227.85, 76.59,81.24,-7.22,10.66,1.04e+03,1.05e+02
2014,03,08,00,39,44.03,293.12,1776.06,-220.26, 76.11,80.63,-6.98,10.61,9.48e+02,1.00e+02
2014,03,08,00,40,26.27,356.87,1765.72,-194.43, 74.49,78.57,-6.16,10.48,1.45e+03,1.24e+02
2014,03,08,00,40,27.52,358.74,1765.38,-193.67, 74.44,78.51,-6.14,10.47,1.24e+03,1.14e+02
2014,03,08,00,40,28.77,360.62,1765.03,-192.90, 74.39,78.45,-6.11,10.47,1.12e+03,1.09e+02
2014,03,08,00,40,41.27,379.38,1761.43,-185.19, 73.91,77.85,-5.87,10.43,1.05e+03,1.06e+02
2014,03,08,00,41,23.51,442.39,1747.56,-158.98, 72.28,75.79,-5.04,10.29,1.12e+03,1.09e+02
2014,03,08,00,41,24.76,444.24,1747.11,-158.20, 72.23,75.73,-5.02,10.29,1.23e+03,1.14e+02
2014,03,08,00,41,26.01,446.10,1746.66,-157.43, 72.18,75.67,-4.99,10.29,9.81e+02,1.02e+02
2014,03,08,00,41,38.51,464.61,1742.01,-149.62, 71.70,75.07,-4.74,10.25,1.30e+03,1.17e+02
2014,03,08,00,42,20.76,526.72,1724.63,-123.10, 70.06,73.02,-3.91,10.11,1.40e+03,1.22e+02
2014,03,08,00,42,22.01,528.55,1724.07,-122.31, 70.02,72.96,-3.88,10.11,1.60e+03,1.30e+02
2014,03,08,00,42,23.26,530.37,1723.52,-121.52, 69.97,72.90,-3.86,10.10,1.27e+03,1.16e+02
2014,03,08,00,42,35.76,548.59,1717.84,-113.64, 69.48,72.29,-3.61,10.06,1.17e+03,1.12e+02
2014,03,08,00,43,18.00,609.60,1696.98,-86.88, 67.85,70.24,-2.76, 9.93,1.20e+03,1.13e+02
2014,03,08,00,43,19.25,611.39,1696.33,-86.09, 67.80,70.18,-2.73, 9.92,1.31e+03,1.18e+02
2014,03,08,00,43,20.50,613.18,1695.67,-85.29, 67.75,70.12,-2.71, 9.92,1.35e+03,1.20e+02
2014,03,08,00,43,33.00,631.05,1688.97,-77.35, 67.26,69.51,-2.46, 9.88,1.58e+03,1.30e+02
2014,03,08,00,44,15.25,690.81,1664.68,-50.42, 65.63,67.46,-1.60, 9.74,1.59e+03,1.30e+02
2014,03,08,00,44,16.50,692.57,1663.92,-49.63, 65.58,67.40,-1.58, 9.74,1.30e+03,1.18e+02
2014,03,08,00,44,17.75,694.32,1663.16,-48.83, 65.53,67.34,-1.55, 9.73,1.35e+03,1.20e+02
2014,03,08,00,44,30.25,711.79,1655.45,-40.85, 65.05,66.73,-1.30, 9.69,1.70e+03,1.34e+02
2014,03,08,00,45,12.49,770.11,1627.79,-13.83, 63.42,64.68,-0.44, 9.56,1.53e+03,1.28e+02
2014,03,08,00,45,13.74,771.82,1626.94,-13.03, 63.38,64.62,-0.41, 9.55,1.43e+03,1.24e+02
2014,03,08,00,45,14.99,773.53,1626.08,-12.23, 63.33,64.56,-0.39, 9.55,1.35e+03,1.20e+02
2014,03,08,00,45,27.49,790.55,1617.38, -4.24, 62.85,63.95,-0.13, 9.51,1.67e+03,1.33e+02
2014,03,08,00,46,9.74,847.29,1586.40, 22.80, 61.24,61.89, 0.73, 9.37,1.64e+03,1.32e+02
2014,03,08,00,46,10.99,848.95,1585.45, 23.60, 61.19,61.83, 0.75, 9.37,1.52e+03,1.27e+02
2014,03,08,00,46,12.24,850.61,1584.49, 24.40, 61.14,61.77, 0.78, 9.36,1.23e+03,1.15e+02
2014,03,08,00,46,24.74,867.13,1574.82, 32.39, 60.67,61.16, 1.03, 9.32,1.51e+03,1.27e+02
2014,03,08,00,47,6.98,922.11,1540.61, 59.37, 59.07,59.10, 1.89, 9.19,2.01e+03,1.46e+02
2014,03,08,00,47,8.23,923.72,1539.57, 60.16, 59.02,59.04, 1.92, 9.18,1.44e+03,1.24e+02
2014,03,08,00,47,9.48,925.32,1538.52, 60.96, 58.98,58.98, 1.94, 9.18,1.61e+03,1.31e+02
2014,03,08,00,47,21.98,941.30,1527.90, 68.93, 58.51,58.36, 2.20, 9.14,1.34e+03,1.20e+02
2014,03,08,00,48,4.22,994.36,1490.54, 95.77, 56.93,56.29, 3.06, 9.00,1.65e+03,1.33e+02
2014,03,08,00,48,5.47,995.91,1489.40, 96.56, 56.89,56.23, 3.08, 9.00,1.84e+03,1.40e+02
2014,03,08,00,48,6.72,997.45,1488.26, 97.35, 56.84,56.17, 3.11, 8.99,1.73e+03,1.36e+02
2014,03,08,00,48,19.22,1012.84,1476.72,105.27, 56.38,55.55, 3.36, 8.95,1.59e+03,1.30e+02
2014,03,08,00,49,1.47,1063.84,1436.29,131.91, 54.83,53.47, 4.22, 8.82,1.56e+03,1.29e+02
2014,03,08,00,49,2.72,1065.33,1435.06,132.69, 54.78,53.41, 4.25, 8.81,1.50e+03,1.27e+02
2014,03,08,00,49,3.97,1066.81,1433.83,133.48, 54.74,53.35, 4.27, 8.81,1.82e+03,1.39e+02
2014,03,08,00,49,16.47,1081.56,1421.40,141.32, 54.29,52.73, 4.52, 8.77,1.71e+03,1.35e+02
2014,03,08,00,49,58.71,1130.33,1378.02,167.68, 52.77,50.64, 5.37, 8.63,1.75e+03,1.37e+02
2014,03,08,00,49,59.96,1131.75,1376.70,168.45, 52.72,50.58, 5.40, 8.63,1.49e+03,1.26e+02
2014,03,08,00,50,1.21,1133.16,1375.39,169.23, 52.68,50.52, 5.42, 8.62,1.52e+03,1.27e+02
2014,03,08,00,50,13.71,1147.23,1362.10,176.98, 52.23,49.89, 5.68, 8.58,1.87e+03,1.41e+02
2014,03,08,00,50,55.96,1193.64,1315.86,202.98, 50.75,47.79, 6.52, 8.44,1.71e+03,1.35e+02
2014,03,08,00,50,57.21,1194.99,1314.47,203.75, 50.71,47.73, 6.54, 8.44,1.96e+03,1.45e+02
2014,03,08,00,50,58.46,1196.33,1313.06,204.51, 50.66,47.66, 6.57, 8.43,1.89e+03,1.42e+02
2014,03,08,00,51,10.96,1209.68,1298.96,212.14, 50.23,47.04, 6.82, 8.39,1.88e+03,1.42e+02
2014,03,08,00,51,53.20,1253.58,1250.00,237.71, 48.79,44.92, 7.65, 8.25,1.86e+03,1.41e+02
2014,03,08,00,51,54.45,1254.85,1248.53,238.46, 48.75,44.86, 7.67, 8.25,1.81e+03,1.39e+02
2014,03,08,00,51,55.70,1256.11,1247.05,239.21, 48.70,44.79, 7.70, 8.24,2.09e+03,1.50e+02
2014,03,08,00,52,8.20,1268.70,1232.15,246.70, 48.28,44.16, 7.94, 8.20,1.65e+03,1.33e+02
2014,03,08,00,52,50.45,1309.96,1180.59,271.77, 46.88,42.03, 8.76, 8.06,2.02e+03,1.47e+02
2014,03,08,00,52,51.70,1311.15,1179.04,272.51, 46.84,41.96, 8.79, 8.06,1.58e+03,1.30e+02
2014,03,08,00,52,52.95,1312.34,1177.48,273.24, 46.80,41.90, 8.81, 8.05,1.99e+03,1.46e+02
2014,03,08,00,53,5.45,1324.13,1161.84,280.57, 46.39,41.26, 9.05, 8.01,1.95e+03,1.45e+02
2014,03,08,00,53,47.69,1362.62,1107.84,305.06, 45.04,39.11, 9.85, 7.87,1.77e+03,1.38e+02
2014,03,08,00,53,48.94,1363.73,1106.21,305.78, 45.00,39.05, 9.88, 7.86,1.92e+03,1.43e+02
2014,03,08,00,53,50.19,1364.83,1104.59,306.49, 44.96,38.98, 9.90, 7.86,2.21e+03,1.54e+02
2014,03,08,00,54,2.69,1375.78,1088.24,313.64, 44.57,38.34,10.14, 7.82,2.09e+03,1.50e+02
2014,03,08,00,54,44.93,1411.39,1031.92,337.48, 43.27,36.17,10.93, 7.67,1.97e+03,1.45e+02
