Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ar Abundance (/cc),STD (/cc)
2014,03,20,00,50,20.50,1415.80,881.61,-671.67, 60.61,31.91,-21.94,17.13,3.26e+02,6.00e+01
2014,03,20,00,50,21.75,1416.78,879.80,-671.92, 60.60,31.84,-21.94,17.12,4.55e+02,7.05e+01
2014,03,20,00,50,23.00,1417.75,878.00,-672.18, 60.58,31.77,-21.95,17.12,6.70e+02,8.52e+01
2014,03,20,00,50,35.50,1427.43,859.89,-674.65, 60.41,31.07,-22.04,17.07,3.59e+02,6.28e+01
2014,03,20,00,51,17.74,1458.70,797.86,-682.35, 59.82,28.68,-22.31,16.91,6.08e+02,8.11e+01
2014,03,20,00,51,18.99,1459.59,796.01,-682.57, 59.80,28.61,-22.32,16.91,5.76e+02,7.89e+01
2014,03,20,00,51,20.24,1460.48,794.15,-682.78, 59.78,28.54,-22.33,16.90,7.38e+02,8.91e+01
2014,03,20,00,51,32.74,1469.27,775.54,-684.84, 59.60,27.83,-22.40,16.85,7.71e+02,9.11e+01
2014,03,20,00,52,14.99,1497.54,711.88,-691.15, 59.01,25.42,-22.63,16.69,4.71e+02,7.13e+01
2014,03,20,00,52,16.24,1498.34,709.98,-691.32, 58.99,25.35,-22.63,16.69,5.47e+02,7.68e+01
2014,03,20,00,52,17.49,1499.14,708.08,-691.49, 58.97,25.28,-22.64,16.68,7.09e+02,8.73e+01
2014,03,20,00,52,29.99,1507.03,689.01,-693.14, 58.80,24.57,-22.70,16.64,8.71e+02,9.67e+01
2014,03,20,00,53,12.23,1532.20,623.93,-698.03, 58.20,22.16,-22.88,16.48,8.41e+02,9.50e+01
2014,03,20,00,53,13.48,1532.91,621.99,-698.16, 58.18,22.09,-22.88,16.47,7.44e+02,8.94e+01
2014,03,20,00,53,14.73,1533.61,620.05,-698.29, 58.16,22.01,-22.89,16.47,7.23e+02,8.81e+01
2014,03,20,00,53,27.23,1540.58,600.58,-699.51, 57.98,21.30,-22.93,16.42,7.34e+02,8.88e+01
2014,03,20,00,54,9.48,1562.58,534.22,-702.97, 57.38,18.87,-23.06,16.26,7.58e+02,9.02e+01
2014,03,20,00,54,10.73,1563.20,532.24,-703.06, 57.36,18.80,-23.06,16.25,8.12e+02,9.34e+01
2014,03,20,00,54,11.98,1563.81,530.26,-703.14, 57.34,18.73,-23.07,16.25,6.82e+02,8.56e+01
2014,03,20,00,54,24.48,1569.83,510.46,-703.94, 57.16,18.01,-23.10,16.20,9.76e+02,1.02e+02
2014,03,20,00,55,6.72,1588.59,443.03,-705.95, 56.55,15.58,-23.17,16.04,9.89e+02,1.03e+02
2014,03,20,00,55,7.97,1589.11,441.02,-706.00, 56.54,15.51,-23.18,16.03,1.09e+03,1.08e+02
2014,03,20,00,55,9.22,1589.63,439.02,-706.04, 56.52,15.44,-23.18,16.03,8.05e+02,9.31e+01
2014,03,20,00,55,21.72,1594.68,418.92,-706.41, 56.34,14.72,-23.19,15.98,7.84e+02,9.18e+01
2014,03,20,00,56,3.96,1610.15,350.60,-706.97, 55.73,12.28,-23.22,15.82,9.71e+02,1.02e+02
2014,03,20,00,56,5.21,1610.57,348.57,-706.97, 55.72,12.21,-23.22,15.81,1.09e+03,1.08e+02
2014,03,20,00,56,6.46,1610.99,346.54,-706.97, 55.70,12.14,-23.22,15.81,1.04e+03,1.06e+02
2014,03,20,00,56,18.96,1615.06,326.21,-706.91, 55.52,11.42,-23.22,15.76,1.11e+03,1.10e+02
2014,03,20,00,57,1.21,1627.20,257.18,-706.02, 54.91, 8.98,-23.20,15.60,1.44e+03,1.25e+02
2014,03,20,00,57,2.46,1627.52,255.13,-705.98, 54.90, 8.91,-23.20,15.59,1.12e+03,1.10e+02
2014,03,20,00,57,3.71,1627.84,253.08,-705.93, 54.88, 8.84,-23.20,15.59,1.04e+03,1.06e+02
2014,03,20,00,57,16.21,1630.92,232.57,-705.44, 54.70, 8.12,-23.18,15.54,1.10e+03,1.09e+02
2014,03,20,00,57,58.45,1639.68,163.05,-703.10, 54.10, 5.68,-23.11,15.38,1.09e+03,1.09e+02
2014,03,20,00,57,59.70,1639.90,160.98,-703.01, 54.08, 5.61,-23.11,15.37,1.11e+03,1.10e+02
2014,03,20,00,58,0.95,1640.12,158.92,-702.92, 54.07, 5.53,-23.10,15.37,1.05e+03,1.07e+02
2014,03,20,00,58,13.45,1642.19,138.29,-702.00, 53.89, 4.81,-23.07,15.32,1.20e+03,1.14e+02
2014,03,20,00,58,55.70,1647.55, 68.44,-698.20, 53.29, 2.38,-22.95,15.16,1.23e+03,1.16e+02
