Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,03,27,12,38,5.32,-1440.60,-1039.56,-299.42, 64.17,-144.19,-9.57,11.45,3.01e+02,3.01e+02
2014,03,27,12,38,6.56,-1441.79,-1038.03,-298.70, 64.12,-144.25,-9.54,11.44,1.22e+03,6.05e+02
2014,03,27,12,38,7.81,-1442.99,-1036.50,-297.97, 64.08,-144.31,-9.52,11.44,2.13e+03,8.00e+02
2014,03,27,12,38,46.81,-1479.28,-988.08,-275.09, 62.67,-146.26,-8.79,11.31,1.22e+03,6.05e+02
2014,03,27,12,39,2.56,-1493.39,-968.18,-265.76, 62.10,-147.04,-8.49,11.26,6.09e+02,4.28e+02
2014,03,27,12,39,3.81,-1494.50,-966.59,-265.01, 62.06,-147.11,-8.47,11.25,1.52e+03,6.76e+02
2014,03,27,12,39,5.05,-1495.60,-965.00,-264.27, 62.01,-147.17,-8.45,11.25,1.22e+03,6.05e+02
2014,03,27,12,39,44.06,-1529.09,-914.74,-240.88, 60.62,-149.11,-7.70,11.12,6.09e+02,4.28e+02
2014,03,27,12,39,59.80,-1542.04,-894.12,-231.36, 60.06,-149.89,-7.40,11.07,1.52e+03,6.76e+02
2014,03,27,12,40,1.04,-1543.06,-892.47,-230.60, 60.02,-149.96,-7.37,11.06,9.10e+02,5.23e+02
2014,03,27,12,40,2.29,-1544.07,-890.83,-229.84, 59.97,-150.02,-7.35,11.06,1.83e+03,7.42e+02
2014,03,27,12,40,41.30,-1574.64,-838.85,-206.01, 58.60,-151.95,-6.59,10.93,1.52e+03,6.76e+02
2014,03,27,12,40,57.05,-1586.41,-817.56,-196.31, 58.05,-152.74,-6.28,10.88,6.10e+02,4.28e+02
2014,03,27,12,40,58.30,-1587.33,-815.86,-195.54, 58.00,-152.80,-6.25,10.88,1.22e+03,6.06e+02
2014,03,27,12,40,59.55,-1588.25,-814.16,-194.76, 57.96,-152.86,-6.23,10.87,9.11e+02,5.24e+02
2014,03,27,12,41,38.55,-1615.81,-760.62,-170.55, 56.61,-154.79,-5.46,10.74,9.11e+02,5.24e+02
2014,03,27,12,41,54.28,-1626.34,-738.73,-160.72, 56.07,-155.57,-5.14,10.69,1.52e+03,6.77e+02
2014,03,27,12,41,55.53,-1627.16,-736.98,-159.94, 56.03,-155.63,-5.12,10.69,6.10e+02,4.29e+02
2014,03,27,12,41,56.78,-1627.98,-735.23,-159.15, 55.99,-155.70,-5.09,10.68,1.22e+03,6.06e+02
2014,03,27,12,42,35.78,-1652.45,-680.27,-134.63, 54.66,-157.62,-4.31,10.55,1.52e+03,6.77e+02
2014,03,27,12,42,51.53,-1661.73,-657.81,-124.68, 54.14,-158.40,-3.99,10.50,1.22e+03,6.07e+02
2014,03,27,12,42,52.78,-1662.45,-656.03,-123.89, 54.09,-158.47,-3.97,10.50,9.12e+02,5.24e+02
2014,03,27,12,42,54.03,-1663.17,-654.24,-123.09, 54.05,-158.53,-3.94,10.49,1.22e+03,6.07e+02
2014,03,27,12,43,33.03,-1684.47,-597.99,-98.33, 52.76,-160.45,-3.15,10.37,6.11e+02,4.29e+02
2014,03,27,12,43,48.77,-1692.44,-575.07,-88.29, 52.25,-161.23,-2.83,10.32,1.22e+03,6.08e+02
2014,03,27,12,43,50.02,-1693.06,-573.24,-87.49, 52.21,-161.29,-2.80,10.31,6.11e+02,4.30e+02
2014,03,27,12,43,51.27,-1693.67,-571.42,-86.70, 52.17,-161.36,-2.78,10.31,6.11e+02,4.30e+02
2014,03,27,12,44,30.27,-1711.73,-514.05,-61.75, 50.92,-163.28,-1.98,10.18,1.22e+03,6.08e+02
2014,03,27,12,44,46.02,-1718.39,-490.69,-51.65, 50.42,-164.06,-1.66,10.13,1.22e+03,6.08e+02
