Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ne Abundance (/cc),STD (/cc)
2014,03,24,14,30,33.72, -8.03,1744.25,502.92, 77.92,90.26,16.08, 0.71,0.00e+00,   NaN
2014,03,24,14,30,34.97, -6.06,1744.44,502.35, 77.94,90.20,16.06, 0.70,0.00e+00,   NaN
2014,03,24,14,30,36.22, -4.09,1744.63,501.78, 77.96,90.13,16.05, 0.70,0.00e+00,   NaN
2014,03,24,14,30,54.97, 25.40,1747.25,493.15, 78.29,89.17,15.76, 0.63,0.00e+00,   NaN
2014,03,24,14,31,30.96, 81.99,1750.86,476.18, 78.91,87.32,15.20, 0.51,0.00e+00,   NaN
2014,03,24,14,31,32.21, 83.95,1750.95,475.58, 78.93,87.26,15.18, 0.50,0.00e+00,   NaN
2014,03,24,14,31,33.46, 85.91,1751.04,474.98, 78.95,87.19,15.16, 0.50,0.00e+00,   NaN
2014,03,24,14,31,52.21,115.36,1752.11,465.92, 79.27,86.23,14.86, 0.44,7.46e+02,2.83e+02
2014,03,24,14,32,28.21,171.80,1752.75,448.16, 79.87,84.40,14.28, 0.31,1.19e+03,3.28e+02
2014,03,24,14,32,29.46,173.75,1752.74,447.53, 79.89,84.34,14.26, 0.31,7.47e+02,2.83e+02
2014,03,24,14,32,30.71,175.71,1752.72,446.90, 79.92,84.28,14.24, 0.31,8.09e+02,2.90e+02
2014,03,24,14,32,49.46,205.03,1752.25,437.44, 80.23,83.33,13.93, 0.24,9.45e+02,3.04e+02
2014,03,24,14,33,25.45,261.13,1749.92,418.94, 80.82,81.51,13.32, 0.12,8.86e+02,2.99e+02
2014,03,24,14,33,26.70,263.07,1749.81,418.28, 80.84,81.45,13.30, 0.12,8.22e+02,2.92e+02
2014,03,24,14,33,27.95,265.02,1749.69,417.63, 80.86,81.39,13.28, 0.11,5.04e+02,2.56e+02
2014,03,24,14,33,46.70,294.13,1747.67,407.80, 81.16,80.45,12.96, 0.05,1.08e+03,3.19e+02
2014,03,24,14,34,22.70,349.78,1742.39,388.59, 81.74,78.65,12.33,23.93,7.44e+02,2.90e+02
2014,03,24,14,34,23.95,351.71,1742.17,387.92, 81.76,78.59,12.31,23.93,4.86e+02,2.61e+02
2014,03,24,14,34,25.20,353.63,1741.96,387.24, 81.78,78.52,12.29,23.92,7.42e+02,2.90e+02
2014,03,24,14,34,43.95,382.46,1738.40,377.06, 82.08,77.59,11.96,23.86,8.60e+02,3.06e+02
2014,03,24,14,35,19.94,437.48,1730.19,357.21, 82.64,75.81,11.32,23.74,1.01e+03,3.19e+02
2014,03,24,14,35,21.19,439.38,1729.87,356.52, 82.66,75.75,11.30,23.74,7.52e+02,2.92e+02
2014,03,24,14,35,22.44,441.29,1729.55,355.82, 82.68,75.69,11.27,23.73,1.01e+03,3.19e+02
2014,03,24,14,35,41.19,469.75,1724.47,345.32, 82.96,74.76,10.94,23.67,5.72e+02,2.68e+02
2014,03,24,14,36,17.18,524.01,1713.35,324.88, 83.50,72.99,10.28,23.55,6.44e+02,2.76e+02
2014,03,24,14,36,18.43,525.89,1712.93,324.17, 83.52,72.93,10.25,23.55,7.08e+02,2.84e+02
2014,03,24,14,36,19.68,527.76,1712.51,323.45, 83.54,72.87,10.23,23.55,7.08e+02,2.84e+02
2014,03,24,14,36,38.43,555.79,1705.92,312.66, 83.82,71.95, 9.89,23.48,7.75e+02,2.92e+02
2014,03,24,14,37,14.43,609.16,1691.92,291.69, 84.34,70.20, 9.21,23.37,9.52e+02,3.15e+02
2014,03,24,14,37,15.68,611.00,1691.40,290.95, 84.36,70.14, 9.19,23.36,9.51e+02,3.15e+02
2014,03,24,14,37,16.93,612.84,1690.88,290.22, 84.38,70.08, 9.17,23.36,4.93e+02,2.64e+02
2014,03,24,14,37,35.68,640.36,1682.81,279.16, 84.64,69.17, 8.81,23.30,2.39e+02,2.31e+02
2014,03,24,14,38,11.67,692.66,1665.97,257.72, 85.14,67.42, 8.13,23.18,4.12e+02,2.62e+02
2014,03,24,14,38,12.92,694.47,1665.36,256.97, 85.16,67.36, 8.11,23.18,9.38e+02,3.21e+02
2014,03,24,14,38,14.17,696.27,1664.74,256.22, 85.18,67.30, 8.08,23.17,7.40e+02,3.00e+02
2014,03,24,14,38,32.92,723.20,1655.21,244.93, 85.43,66.40, 7.72,23.11,1.34e+02,2.30e+02
2014,03,24,14,39,8.92,774.34,1635.58,223.06, 85.91,64.67, 7.03,23.00,1.62e+03,3.82e+02
2014,03,24,14,39,10.17,776.10,1634.87,222.30, 85.93,64.61, 7.00,23.00,8.25e+02,3.07e+02
2014,03,24,14,39,11.42,777.86,1634.15,221.53, 85.95,64.55, 6.98,22.99,1.09e+03,3.34e+02
2014,03,24,14,39,30.17,804.14,1623.19,210.04, 86.19,63.65, 6.61,22.93,6.50e+02,2.82e+02
2014,03,24,14,40,6.16,853.93,1600.83,187.82, 86.65,61.92, 5.91,22.82,8.50e+02,3.04e+02
2014,03,24,14,40,7.41,855.65,1600.03,187.04, 86.66,61.86, 5.89,22.81,3.85e+02,2.49e+02
2014,03,24,14,40,8.66,857.36,1599.22,186.27, 86.68,61.80, 5.86,22.81,3.18e+02,2.40e+02
2014,03,24,14,40,27.41,882.92,1586.85,174.60, 86.91,60.91, 5.49,22.75,2.56e+02,2.31e+02
2014,03,24,14,41,3.41,931.28,1561.82,152.07, 87.34,59.19, 4.78,22.64,1.83e+02,2.25e+02
2014,03,24,14,41,4.66,932.94,1560.92,151.29, 87.36,59.13, 4.76,22.63,4.49e+02,2.61e+02
2014,03,24,14,41,5.91,934.60,1560.02,150.50, 87.37,59.07, 4.73,22.63,8.49e+02,3.07e+02
2014,03,24,14,41,24.66,959.36,1546.28,138.70, 87.59,58.18, 4.36,22.57,5.11e+02,2.71e+02
2014,03,24,14,42,0.65,1006.13,1518.66,115.93, 88.00,56.48, 3.64,22.46,1.06e+03,3.29e+02
2014,03,24,14,42,1.90,1007.74,1517.67,115.14, 88.01,56.42, 3.62,22.45,5.87e+02,2.78e+02
2014,03,24,14,42,3.15,1009.34,1516.68,114.35, 88.02,56.36, 3.59,22.45,7.89e+02,3.01e+02
2014,03,24,14,42,21.90,1033.25,1501.61,102.44, 88.23,55.47, 3.22,22.39,7.96e+02,3.01e+02
2014,03,24,14,42,57.89,1078.32,1471.47, 79.49, 88.61,53.77, 2.49,22.28,1.14e+03,3.36e+02
2014,03,24,14,42,59.14,1079.86,1470.40, 78.69, 88.62,53.71, 2.47,22.27,8.67e+02,3.08e+02
2014,03,24,14,43,0.39,1081.40,1469.32, 77.89, 88.64,53.65, 2.44,22.27,1.28e+02,2.15e+02
2014,03,24,14,43,19.14,1104.40,1452.95, 65.90, 88.83,52.76, 2.07,22.21,2.55e+02,2.34e+02
2014,03,24,14,43,55.14,1147.65,1420.37, 42.83, 89.18,51.06, 1.34,22.10,8.30e+02,3.13e+02
2014,03,24,14,43,56.39,1149.13,1419.21, 42.03, 89.19,51.00, 1.32,22.09,0.00e+00,1.99e+02
2014,03,24,14,43,57.64,1150.61,1418.05, 41.22, 89.20,50.94, 1.29,22.09,5.57e+02,2.83e+02
2014,03,24,14,44,16.39,1172.63,1400.43, 29.19, 89.38,50.06, 0.92,22.03,1.24e+02,2.34e+02
2014,03,24,14,44,52.38,1213.94,1365.51,  6.06, 89.70,48.36, 0.19,21.92,8.20e+02,3.14e+02
2014,03,24,14,44,53.63,1215.35,1364.27,  5.26, 89.71,48.30, 0.16,21.91,2.80e+02,2.50e+02
2014,03,24,14,44,54.88,1216.76,1363.03,  4.45, 89.73,48.25, 0.14,21.91,2.81e+02,2.50e+02
2014,03,24,14,45,13.63,1237.74,1344.22, -7.60, 89.89,47.36,-0.24,21.85,7.83e+02,3.06e+02
2014,03,24,14,45,49.63,1277.02,1307.03,-30.73, 90.18,45.67,-0.96,21.74,4.94e+02,2.79e+02
2014,03,24,14,45,50.88,1278.36,1305.71,-31.53, 90.19,45.61,-0.99,21.73,5.60e+02,2.87e+02
2014,03,24,14,45,52.13,1279.70,1304.39,-32.34, 90.20,45.55,-1.01,21.73,4.24e+02,2.70e+02
2014,03,24,14,46,10.88,1299.59,1284.43,-44.37, 90.35,44.66,-1.39,21.67,6.14e+02,2.97e+02
2014,03,24,14,46,46.87,1336.72,1245.09,-67.43, 90.61,42.97,-2.11,21.56,2.23e+02,2.41e+02
2014,03,24,14,46,48.12,1337.98,1243.70,-68.23, 90.62,42.91,-2.14,21.56,7.69e+02,3.08e+02
2014,03,24,14,46,49.37,1339.25,1242.31,-69.03, 90.63,42.85,-2.16,21.55,8.37e+02,3.15e+02
2014,03,24,14,47,8.12,1357.99,1221.25,-81.02, 90.76,41.97,-2.54,21.49,9.13e+02,3.22e+02
2014,03,24,14,47,44.12,1392.89,1179.86,-103.97, 90.99,40.27,-3.26,21.38,1.21e+02,2.17e+02
2014,03,24,14,47,45.37,1394.07,1178.40,-104.76, 91.00,40.21,-3.28,21.38,3.25e+02,2.46e+02
2014,03,24,14,47,46.62,1395.26,1176.93,-105.56, 91.00,40.15,-3.31,21.37,3.94e+02,2.56e+02
2014,03,24,14,48,5.37,1412.81,1154.84,-117.46, 91.12,39.26,-3.68,21.31,7.36e+02,2.97e+02
2014,03,24,14,48,41.36,1445.37,1111.51,-140.22, 91.32,37.56,-4.40,21.20,1.51e+02,2.33e+02
2014,03,24,14,48,42.61,1446.47,1109.99,-141.01, 91.32,37.50,-4.42,21.20,2.18e+02,2.43e+02
2014,03,24,14,48,43.86,1447.57,1108.46,-141.80, 91.33,37.44,-4.45,21.19,4.21e+02,2.70e+02
2014,03,24,14,49,2.61,1463.88,1085.38,-153.59, 91.43,36.55,-4.82,21.13,6.10e+02,2.98e+02
2014,03,24,14,49,38.60,1494.03,1040.24,-176.11, 91.60,34.85,-5.53,21.02,1.23e+03,3.61e+02
2014,03,24,14,49,39.85,1495.05,1038.65,-176.89, 91.60,34.79,-5.55,21.02,7.49e+02,3.12e+02
2014,03,24,14,49,41.10,1496.07,1037.06,-177.67, 91.61,34.73,-5.57,21.01,1.32e+02,2.36e+02
2014,03,24,14,49,59.85,1511.10,1013.06,-189.32, 91.69,33.84,-5.94,20.96,5.32e+02,2.76e+02
2014,03,24,14,50,35.85,1538.76,966.20,-211.54, 91.82,32.13,-6.64,20.84,6.52e+02,2.94e+02
2014,03,24,14,50,37.10,1539.69,964.55,-212.31, 91.83,32.07,-6.67,20.84,5.13e+02,2.78e+02
2014,03,24,14,50,38.35,1540.62,962.91,-213.08, 91.83,32.01,-6.69,20.83,3.05e+02,2.52e+02
2014,03,24,14,50,57.10,1554.33,938.06,-224.56, 91.90,31.11,-7.05,20.77,5.06e+02,2.81e+02
2014,03,24,14,51,33.09,1579.42,889.62,-246.41, 92.00,29.39,-7.74,20.66,3.80e+02,2.61e+02
2014,03,24,14,51,34.34,1580.26,887.92,-247.17, 92.00,29.33,-7.76,20.66,3.11e+02,2.51e+02
2014,03,24,14,51,35.59,1581.10,886.22,-247.92, 92.01,29.27,-7.79,20.65,3.12e+02,2.51e+02
2014,03,24,14,51,54.34,1593.45,860.59,-259.20, 92.05,28.37,-8.15,20.59,2.61e+02,2.40e+02
2014,03,24,14,52,30.34,1615.91,810.69,-280.64, 92.12,26.64,-8.82,20.48,6.75e+02,2.92e+02
2014,03,24,14,52,31.59,1616.66,808.94,-281.38, 92.12,26.58,-8.85,20.47,9.50e+02,3.22e+02
2014,03,24,14,52,32.84,1617.41,807.19,-282.12, 92.13,26.52,-8.87,20.47,5.37e+02,2.75e+02
2014,03,24,14,52,51.59,1628.38,780.83,-293.17, 92.15,25.62,-9.22,20.41,3.21e+02,2.50e+02
2014,03,24,14,53,27.58,1648.14,729.63,-314.13, 92.19,23.88,-9.89,20.30,7.70e+02,3.30e+02
2014,03,24,14,53,28.83,1648.79,727.83,-314.86, 92.19,23.82,-9.91,20.29,8.36e+02,3.37e+02
2014,03,24,14,53,30.08,1649.45,726.04,-315.58, 92.19,23.76,-9.93,20.29,5.24e+00,2.41e+02
2014,03,24,14,53,48.83,1659.00,699.03,-326.36, 92.20,22.85,-10.28,20.23,6.94e+01,2.70e+02
2014,03,24,14,54,24.83,1676.02,646.63,-346.80, 92.20,21.10,-10.93,20.11,1.62e+02,2.59e+02
2014,03,24,14,54,26.08,1676.58,644.79,-347.51, 92.20,21.04,-10.95,20.11,4.42e+02,2.92e+02
2014,03,24,14,54,27.33,1677.14,642.96,-348.21, 92.20,20.98,-10.97,20.10,1.27e+03,3.76e+02
2014,03,24,14,54,46.08,1685.25,615.37,-358.70, 92.19,20.06,-11.31,20.04,5.56e+02,2.91e+02
2014,03,24,14,55,22.07,1699.47,561.94,-378.56, 92.16,18.30,-11.94,19.93,2.59e+02,2.59e+02
2014,03,24,14,55,23.32,1699.94,560.07,-379.24, 92.16,18.24,-11.96,19.92,3.96e+02,2.77e+02
2014,03,24,14,55,24.57,1700.40,558.20,-379.92, 92.16,18.17,-11.99,19.92,3.27e+02,2.68e+02
2014,03,24,14,55,43.32,1707.04,530.11,-390.10, 92.13,17.25,-12.31,19.86,3.58e+02,2.82e+02
2014,03,24,14,56,19.31,1718.44,475.77,-409.32, 92.07,15.48,-12.93,19.74,6.07e+02,3.02e+02
2014,03,24,14,56,20.56,1718.81,473.87,-409.98, 92.06,15.41,-12.95,19.74,1.16e+03,3.59e+02
2014,03,24,14,56,21.81,1719.17,471.97,-410.64, 92.06,15.35,-12.97,19.73,2.66e+02,2.59e+02
2014,03,24,14,56,40.56,1724.33,443.45,-420.47, 92.02,14.42,-13.29,19.67,8.05e+02,3.11e+02
2014,03,24,14,57,16.56,1732.88,388.33,-439.02, 91.92,12.63,-13.89,19.55,4.52e+02,2.88e+02
2014,03,24,14,57,17.81,1733.14,386.41,-439.65, 91.91,12.57,-13.91,19.55,2.40e+02,2.62e+02
2014,03,24,14,57,19.06,1733.40,384.48,-440.29, 91.91,12.51,-13.93,19.54,0.00e+00,2.01e+02
2014,03,24,14,57,37.81,1737.07,355.60,-449.75, 91.85,11.57,-14.23,19.48,5.39e+02,3.11e+02
2014,03,24,14,58,13.80,1742.73,299.88,-467.55, 91.71, 9.76,-14.81,19.36,6.20e+02,3.16e+02
2014,03,24,14,58,15.05,1742.90,297.94,-468.16, 91.71, 9.70,-14.83,19.36,6.91e+02,3.23e+02
2014,03,24,14,58,16.30,1743.06,296.00,-468.77, 91.70, 9.64,-14.85,19.35,4.14e+02,2.93e+02
2014,03,24,14,58,35.05,1745.22,266.83,-477.84, 91.63, 8.69,-15.14,19.29,1.77e+02,2.53e+02
2014,03,24,14,59,11.05,1747.99,210.63,-494.87, 91.46, 6.87,-15.70,19.17,4.30e+02,2.74e+02
2014,03,24,14,59,12.30,1748.05,208.67,-495.45, 91.45, 6.81,-15.72,19.17,3.63e+02,2.65e+02
2014,03,24,14,59,13.55,1748.11,206.72,-496.03, 91.45, 6.74,-15.74,19.16,4.33e+02,2.74e+02
2014,03,24,14,59,32.30,1748.76,177.35,-504.68, 91.35, 5.79,-16.02,19.10,5.24e+02,2.80e+02
