Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ne Abundance (/cc),STD (/cc)
2014,03,28,07,49,2.48,-1609.80,-761.66,-293.28, 67.48,-154.68,-9.35,11.40,0.00e+00,   NaN
2014,03,28,07,49,3.73,-1610.69,-759.94,-292.55, 67.43,-154.74,-9.33,11.40,0.00e+00,   NaN
2014,03,28,07,49,4.98,-1611.58,-758.22,-291.81, 67.38,-154.80,-9.30,11.39,0.00e+00,   NaN
2014,03,28,07,49,23.73,-1624.64,-732.31,-280.81, 66.65,-155.74,-8.95,11.33,0.00e+00,   NaN
2014,03,28,07,49,59.72,-1648.38,-681.98,-259.45, 65.25,-157.52,-8.28,11.21,0.00e+00,   NaN
2014,03,28,07,50,0.97,-1649.17,-680.21,-258.70, 65.20,-157.59,-8.25,11.21,0.00e+00,   NaN
2014,03,28,07,50,2.22,-1649.96,-678.45,-257.95, 65.15,-157.65,-8.23,11.20,0.00e+00,   NaN
2014,03,28,07,50,20.97,-1661.55,-651.90,-246.70, 64.43,-158.58,-7.87,11.14,5.83e+02,4.37e+02
2014,03,28,07,50,56.96,-1682.41,-600.41,-224.91, 63.04,-160.36,-7.18,11.02,0.00e+00,3.34e+02
2014,03,28,07,50,58.21,-1683.10,-598.61,-224.14, 62.99,-160.42,-7.15,11.02,0.00e+00,3.34e+02
2014,03,28,07,50,59.46,-1683.79,-596.80,-223.38, 62.94,-160.48,-7.13,11.01,3.75e+02,3.85e+02
2014,03,28,07,51,18.21,-1693.87,-569.69,-211.92, 62.22,-161.41,-6.76,10.95,4.27e+02,4.32e+02
2014,03,28,07,51,54.21,-1711.79,-517.16,-189.74, 60.85,-163.19,-6.06,10.83,2.96e+01,4.24e+02
2014,03,28,07,51,55.46,-1712.38,-515.32,-188.97, 60.80,-163.25,-6.03,10.83,9.90e+02,4.92e+02
2014,03,28,07,51,56.71,-1712.97,-513.49,-188.19, 60.75,-163.31,-6.01,10.83,7.53e+01,4.30e+02
2014,03,28,07,52,15.46,-1721.49,-485.88,-176.55, 60.04,-164.24,-5.64,10.76,2.36e+02,4.09e+02
2014,03,28,07,52,51.45,-1736.41,-432.49,-154.06, 58.68,-166.01,-4.92,10.65,8.41e+02,4.70e+02
2014,03,28,07,52,52.70,-1736.90,-430.62,-153.27, 58.64,-166.08,-4.90,10.64,1.21e+02,4.19e+02
2014,03,28,07,52,53.95,-1737.38,-428.76,-152.49, 58.59,-166.14,-4.87,10.64,1.14e+02,4.20e+02
2014,03,28,07,53,12.70,-1744.33,-400.73,-140.69, 57.89,-167.06,-4.49,10.58,3.27e+02,4.53e+02
2014,03,28,07,53,48.70,-1756.20,-346.60,-117.94, 56.55,-168.84,-3.77,10.46,2.14e+02,4.43e+02
2014,03,28,07,53,49.95,-1756.57,-344.71,-117.14, 56.51,-168.90,-3.74,10.45,2.19e+01,4.29e+02
2014,03,28,07,53,51.20,-1756.95,-342.82,-116.35, 56.46,-168.96,-3.72,10.45,3.51e+02,4.52e+02
2014,03,28,07,54,9.95,-1762.29,-314.45,-104.44, 55.77,-169.88,-3.34,10.39,0.00e+00,4.07e+02
2014,03,28,07,54,45.94,-1771.06,-259.75,-81.49, 54.46,-171.66,-2.61,10.27,1.36e+02,4.41e+02
2014,03,28,07,54,47.19,-1771.33,-257.84,-80.69, 54.41,-171.72,-2.58,10.27,4.66e+02,4.64e+02
2014,03,28,07,54,48.44,-1771.59,-255.94,-79.90, 54.37,-171.78,-2.56,10.26,0.00e+00,4.06e+02
2014,03,28,07,55,7.19,-1775.31,-227.31,-67.90, 53.69,-172.70,-2.17,10.20,0.00e+00,4.02e+02
2014,03,28,07,55,43.19,-1780.95,-172.16,-44.82, 52.41,-174.48,-1.43,10.08,0.00e+00,4.16e+02
2014,03,28,07,55,44.44,-1781.11,-170.24,-44.01, 52.37,-174.54,-1.41,10.08,4.17e+02,4.51e+02
2014,03,28,07,55,45.69,-1781.27,-168.32,-43.21, 52.32,-174.60,-1.38,10.08,7.41e+02,4.75e+02
2014,03,28,07,56,4.44,-1783.34,-139.51,-31.16, 51.66,-175.53,-1.00,10.01,6.06e+01,4.58e+02
2014,03,28,07,56,40.43,-1785.82,-84.10, -8.02, 50.41,-177.30,-0.26, 9.90,4.68e+02,4.77e+02
2014,03,28,07,56,41.68,-1785.87,-82.17, -7.22, 50.37,-177.37,-0.23, 9.89,0.00e+00,3.82e+02
2014,03,28,07,56,42.93,-1785.91,-80.24, -6.41, 50.33,-177.43,-0.21, 9.89,7.64e+01,4.49e+02
2014,03,28,07,57,1.68,-1786.34,-51.33,  5.65, 49.68,-178.35, 0.18, 9.83,9.49e+01,4.48e+02
2014,03,28,07,57,37.67,-1785.63,  4.20, 28.80, 48.47,179.87, 0.92, 9.71,0.00e+00,4.59e+02
2014,03,28,07,57,38.92,-1785.57,  6.13, 29.60, 48.43,179.80, 0.95, 9.70,0.00e+00,4.40e+02
2014,03,28,07,57,40.17,-1785.51,  8.06, 30.40, 48.39,179.74, 0.98, 9.70,0.00e+00,4.65e+02
2014,03,28,07,57,58.92,-1784.28, 36.99, 42.45, 47.77,178.81, 1.36, 9.64,3.89e+02,4.66e+02
2014,03,28,07,58,34.92,-1780.39, 92.49, 65.54, 46.59,177.03, 2.11, 9.52,0.00e+00,4.24e+02
2014,03,28,07,58,36.17,-1780.22, 94.42, 66.34, 46.55,176.96, 2.13, 9.52,5.75e+02,5.00e+02
2014,03,28,07,58,37.42,-1780.04, 96.34, 67.14, 46.51,176.90, 2.16, 9.51,0.00e+00,4.54e+02
2014,03,28,07,58,56.17,-1777.15,125.21, 79.14, 45.91,175.97, 2.54, 9.45,8.98e+02,5.14e+02
