Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ne Abundance (/cc),STD (/cc)
2014,04,09,17,16,49.95,990.17,1451.27,-256.87, 38.15,55.70,-8.32,11.51,0.00e+00,   NaN
2014,04,09,17,16,51.20,991.82,1450.23,-256.12, 38.12,55.63,-8.29,11.51,0.00e+00,   NaN
2014,04,09,17,16,52.45,993.47,1449.19,-255.36, 38.09,55.57,-8.27,11.50,0.00e+00,   NaN
2014,04,09,17,17,11.20,1018.09,1433.39,-244.04, 37.61,54.62,-7.90,11.44,0.00e+00,   NaN
2014,04,09,17,17,47.20,1064.45,1401.80,-222.10, 36.70,52.79,-7.19,11.32,0.00e+00,   NaN
2014,04,09,17,17,48.45,1066.04,1400.68,-221.34, 36.67,52.73,-7.17,11.31,0.00e+00,   NaN
2014,04,09,17,17,49.70,1067.63,1399.55,-220.57, 36.64,52.66,-7.14,11.31,0.00e+00,   NaN
2014,04,09,17,18,8.45,1091.25,1382.40,-209.03, 36.17,51.71,-6.77,11.25,0.00e+00,4.59e+02
2014,04,09,17,18,44.44,1135.64,1348.29,-186.70, 35.29,49.89,-6.05,11.13,2.14e+02,5.05e+02
2014,04,09,17,18,45.69,1137.16,1347.08,-185.92, 35.26,49.83,-6.02,11.12,8.37e+01,4.97e+02
2014,04,09,17,18,46.94,1138.68,1345.86,-185.14, 35.23,49.77,-6.00,11.12,0.00e+00,4.88e+02
2014,04,09,17,19,5.69,1161.25,1327.42,-173.42, 34.78,48.82,-5.62,11.06,6.06e+01,5.24e+02
2014,04,09,17,19,41.69,1203.56,1290.86,-150.76, 33.92,47.00,-4.88,10.93,0.00e+00,4.94e+02
2014,04,09,17,19,42.94,1205.00,1289.56,-149.97, 33.90,46.94,-4.86,10.93,7.02e+02,5.42e+02
2014,04,09,17,19,44.19,1206.44,1288.26,-149.18, 33.87,46.88,-4.83,10.93,0.00e+00,4.84e+02
2014,04,09,17,20,2.94,1227.88,1268.58,-137.30, 33.43,45.93,-4.45,10.86,0.00e+00,5.12e+02
2014,04,09,17,20,38.93,1267.96,1229.69,-114.38, 32.61,44.12,-3.71,10.74,3.69e+02,5.72e+02
2014,04,09,17,20,40.18,1269.33,1228.31,-113.58, 32.58,44.06,-3.68,10.74,2.34e+02,5.65e+02
2014,04,09,17,20,41.43,1270.69,1226.93,-112.79, 32.55,44.00,-3.65,10.73,0.00e+00,5.38e+02
2014,04,09,17,21,0.18,1290.94,1206.06,-100.79, 32.13,43.05,-3.27,10.67,3.49e+02,5.44e+02
2014,04,09,17,21,36.18,1328.68,1164.92,-77.67, 31.35,41.24,-2.52,10.55,2.46e+02,5.51e+02
2014,04,09,17,21,37.43,1329.96,1163.47,-76.87, 31.32,41.18,-2.49,10.55,0.00e+00,5.07e+02
2014,04,09,17,21,38.68,1331.25,1162.01,-76.06, 31.29,41.12,-2.46,10.54,7.71e+02,5.82e+02
2014,04,09,17,21,57.43,1350.24,1140.01,-63.98, 30.89,40.17,-2.07,10.48,0.00e+00,5.24e+02
2014,04,09,17,22,33.42,1385.52,1096.77,-40.74, 30.14,38.36,-1.32,10.36,8.56e+02,6.02e+02
2014,04,09,17,22,34.67,1386.71,1095.24,-39.93, 30.12,38.30,-1.29,10.36,0.00e+00,5.21e+02
2014,04,09,17,22,35.92,1387.91,1093.72,-39.12, 30.09,38.24,-1.27,10.35,0.00e+00,5.53e+02
2014,04,09,17,22,54.67,1405.59,1070.64,-26.99, 29.71,37.30,-0.88,10.29,0.00e+00,5.51e+02
2014,04,09,17,23,30.66,1438.30,1025.41, -3.69, 29.00,35.49,-0.12,10.17,0.00e+00,5.37e+02
2014,04,09,17,23,31.91,1439.41,1023.81, -2.88, 28.98,35.42,-0.09,10.17,0.00e+00,5.45e+02
2014,04,09,17,23,33.16,1440.51,1022.22, -2.07, 28.96,35.36,-0.07,10.16,0.00e+00,5.57e+02
2014,04,09,17,23,51.91,1456.83,998.14, 10.07, 28.60,34.42, 0.33,10.10,0.00e+00,5.32e+02
2014,04,09,17,24,27.91,1486.88,951.03, 33.37, 27.93,32.60, 1.08, 9.98,6.39e+02,6.04e+02
2014,04,09,17,24,29.16,1487.89,949.37, 34.18, 27.91,32.54, 1.11, 9.97,6.46e+02,6.04e+02
2014,04,09,17,24,30.41,1488.90,947.72, 34.99, 27.88,32.48, 1.14, 9.97,5.19e+01,5.70e+02
2014,04,09,17,24,49.16,1503.81,922.70, 47.11, 27.55,31.53, 1.53, 9.91,0.00e+00,5.79e+02
2014,04,09,17,25,25.15,1531.09,873.87, 70.33, 26.92,29.72, 2.28, 9.79,4.33e+01,6.10e+02
2014,04,09,17,25,26.40,1532.01,872.16, 71.14, 26.90,29.65, 2.31, 9.78,1.71e+02,6.17e+02
2014,04,09,17,25,27.65,1532.92,870.44, 71.94, 26.88,29.59, 2.34, 9.78,0.00e+00,5.84e+02
2014,04,09,17,25,46.40,1546.36,844.56, 84.01, 26.57,28.64, 2.73, 9.71,2.56e+02,5.68e+02
2014,04,09,17,26,22.40,1570.81,794.14,107.09, 25.99,26.82, 3.48, 9.59,4.77e+01,5.96e+02
2014,04,09,17,26,23.65,1571.62,792.37,107.89, 25.97,26.76, 3.51, 9.59,0.00e+00,5.78e+02
2014,04,09,17,26,24.90,1572.44,790.60,108.69, 25.95,26.69, 3.53, 9.59,0.00e+00,5.56e+02
2014,04,09,17,26,43.65,1584.38,763.93,120.66, 25.67,25.74, 3.92, 9.52,0.00e+00,5.94e+02
2014,04,09,17,27,19.64,1605.89,712.07,143.53, 25.14,23.91, 4.67, 9.40,4.68e+02,6.34e+02
