Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ar Abundance (/cc),STD (/cc)
2014,04,08,12,59,51.85,631.63,1645.40,-250.67, 42.80,69.00,-8.09,11.44,2.00e+03,1.51e+02
2014,04,08,12,59,53.10,633.47,1644.76,-249.91, 42.76,68.94,-8.07,11.44,1.58e+03,1.34e+02
2014,04,08,12,59,54.35,635.30,1644.13,-249.15, 42.72,68.87,-8.05,11.43,1.84e+03,1.45e+02
2014,04,08,13,00,6.85,653.60,1637.67,-241.52, 42.34,68.24,-7.80,11.39,1.69e+03,1.38e+02
2014,04,08,13,00,49.09,714.78,1614.17,-215.52, 41.06,66.12,-6.96,11.25,2.18e+03,1.57e+02
2014,04,08,13,00,50.34,716.57,1613.44,-214.74, 41.02,66.05,-6.94,11.25,1.84e+03,1.44e+02
2014,04,08,13,00,51.59,718.36,1612.70,-213.97, 40.98,65.99,-6.91,11.24,1.62e+03,1.35e+02
2014,04,08,13,01,4.09,736.23,1605.22,-206.20, 40.60,65.36,-6.66,11.20,1.66e+03,1.37e+02
2014,04,08,13,01,46.33,795.87,1578.32,-179.75, 39.34,63.24,-5.81,11.06,1.82e+03,1.43e+02
2014,04,08,13,01,47.58,797.62,1577.48,-178.96, 39.30,63.18,-5.78,11.05,1.75e+03,1.41e+02
2014,04,08,13,01,48.83,799.36,1576.65,-178.18, 39.27,63.11,-5.76,11.05,2.04e+03,1.52e+02
2014,04,08,13,02,1.33,816.75,1568.17,-170.29, 38.90,62.49,-5.50,11.01,2.22e+03,1.58e+02
2014,04,08,13,02,43.58,874.69,1537.92,-143.46, 37.66,60.37,-4.64,10.87,2.03e+03,1.51e+02
2014,04,08,13,02,44.83,876.38,1536.98,-142.67, 37.63,60.31,-4.61,10.86,2.27e+03,1.60e+02
2014,04,08,13,02,46.08,878.07,1536.05,-141.87, 37.59,60.25,-4.58,10.86,1.95e+03,1.48e+02
2014,04,08,13,02,58.58,894.93,1526.59,-133.88, 37.23,59.62,-4.33,10.82,2.10e+03,1.54e+02
2014,04,08,13,03,40.82,950.97,1493.08,-106.77, 36.02,57.51,-3.45,10.68,1.87e+03,1.45e+02
2014,04,08,13,03,42.07,952.60,1492.05,-105.96, 35.99,57.44,-3.43,10.67,2.33e+03,1.62e+02
2014,04,08,13,03,43.32,954.24,1491.02,-105.16, 35.95,57.38,-3.40,10.67,2.37e+03,1.63e+02
2014,04,08,13,03,55.82,970.51,1480.61,-97.10, 35.60,56.76,-3.14,10.63,2.19e+03,1.57e+02
2014,04,08,13,04,38.07,1024.51,1443.91,-69.76, 34.43,54.64,-2.26,10.49,1.79e+03,1.42e+02
2014,04,08,13,04,39.32,1026.08,1442.79,-68.95, 34.39,54.58,-2.23,10.48,2.12e+03,1.54e+02
2014,04,08,13,04,40.57,1027.66,1441.67,-68.14, 34.36,54.52,-2.20,10.48,2.55e+03,1.69e+02
2014,04,08,13,04,53.07,1043.30,1430.33,-60.03, 34.02,53.89,-1.94,10.44,1.93e+03,1.47e+02
2014,04,08,13,05,35.31,1095.07,1390.56,-32.56, 32.88,51.78,-1.05,10.30,2.31e+03,1.61e+02
2014,04,08,13,05,36.56,1096.57,1389.35,-31.74, 32.85,51.72,-1.03,10.29,2.35e+03,1.63e+02
2014,04,08,13,05,37.81,1098.08,1388.14,-30.93, 32.81,51.65,-1.00,10.29,2.00e+03,1.50e+02
2014,04,08,13,05,50.31,1113.04,1375.90,-22.79, 32.48,51.03,-0.74,10.25,2.15e+03,1.55e+02
2014,04,08,13,06,32.56,1162.45,1333.15,  4.75, 31.39,48.91, 0.15,10.11,2.39e+03,1.64e+02
2014,04,08,13,06,33.81,1163.88,1331.85,  5.56, 31.35,48.85, 0.18,10.10,2.15e+03,1.55e+02
2014,04,08,13,06,35.06,1165.32,1330.55,  6.38, 31.32,48.79, 0.21,10.10,2.54e+03,1.69e+02
2014,04,08,13,06,47.56,1179.55,1317.46, 14.52, 31.00,48.16, 0.47,10.06,2.26e+03,1.59e+02
2014,04,08,13,07,29.80,1226.43,1271.86, 42.03, 29.95,46.04, 1.36, 9.92,2.05e+03,1.52e+02
2014,04,08,13,07,31.05,1227.79,1270.48, 42.84, 29.92,45.98, 1.39, 9.91,2.05e+03,1.52e+02
2014,04,08,13,07,32.30,1229.14,1269.10, 43.65, 29.89,45.92, 1.42, 9.91,2.18e+03,1.57e+02
2014,04,08,13,07,44.80,1242.61,1255.18, 51.78, 29.58,45.29, 1.68, 9.87,2.26e+03,1.59e+02
2014,04,08,13,08,27.04,1286.82,1206.85, 79.19, 28.57,43.16, 2.57, 9.73,2.16e+03,1.56e+02
2014,04,08,13,08,28.29,1288.10,1205.39, 79.99, 28.55,43.10, 2.60, 9.72,2.53e+03,1.69e+02
2014,04,08,13,08,29.54,1289.37,1203.93, 80.80, 28.52,43.04, 2.62, 9.72,2.52e+03,1.68e+02
2014,04,08,13,08,42.04,1302.03,1189.22, 88.89, 28.23,42.41, 2.89, 9.68,2.58e+03,1.70e+02
2014,04,08,13,09,24.29,1343.45,1138.29,116.12, 27.27,40.27, 3.77, 9.53,2.50e+03,1.67e+02
2014,04,08,13,09,25.54,1344.64,1136.76,116.92, 27.24,40.21, 3.80, 9.53,2.75e+03,1.75e+02
2014,04,08,13,09,26.79,1345.83,1135.22,117.72, 27.21,40.15, 3.83, 9.53,2.68e+03,1.73e+02
2014,04,08,13,09,39.29,1357.64,1119.77,125.74, 26.94,39.52, 4.09, 9.48,2.84e+03,1.78e+02
2014,04,08,13,10,21.53,1396.12,1066.41,152.71, 26.03,37.37, 4.97, 9.34,2.86e+03,1.79e+02
2014,04,08,13,10,22.78,1397.22,1064.80,153.50, 26.00,37.31, 4.99, 9.34,2.59e+03,1.70e+02
2014,04,08,13,10,24.03,1398.33,1063.19,154.29, 25.98,37.25, 5.02, 9.33,2.75e+03,1.75e+02
2014,04,08,13,10,36.53,1409.25,1047.04,162.22, 25.72,36.61, 5.28, 9.29,2.80e+03,1.77e+02
2014,04,08,13,11,18.78,1444.69,991.37,188.85, 24.87,34.46, 6.15, 9.15,2.35e+03,1.62e+02
2014,04,08,13,11,20.03,1445.70,989.69,189.64, 24.85,34.39, 6.18, 9.14,2.75e+03,1.75e+02
2014,04,08,13,11,21.28,1446.71,988.02,190.42, 24.82,34.33, 6.20, 9.14,2.96e+03,1.82e+02
2014,04,08,13,11,33.78,1456.71,971.21,198.24, 24.58,33.69, 6.46, 9.10,3.03e+03,1.84e+02
2014,04,08,13,12,16.02,1488.99,913.41,224.44, 23.79,31.53, 7.32, 8.95,3.09e+03,1.86e+02
2014,04,08,13,12,17.27,1489.91,911.68,225.21, 23.77,31.46, 7.35, 8.95,2.99e+03,1.83e+02
2014,04,08,13,12,18.52,1490.82,909.95,225.98, 23.74,31.40, 7.37, 8.94,3.13e+03,1.87e+02
2014,04,08,13,12,31.02,1499.87,892.53,233.66, 23.52,30.76, 7.63, 8.90,3.13e+03,1.87e+02
2014,04,08,13,13,13.27,1528.89,832.75,259.37, 22.79,28.58, 8.47, 8.76,2.96e+03,1.82e+02
2014,04,08,13,13,14.52,1529.72,830.96,260.13, 22.77,28.51, 8.50, 8.75,3.04e+03,1.84e+02
2014,04,08,13,13,15.77,1530.53,829.17,260.88, 22.75,28.45, 8.52, 8.75,3.00e+03,1.83e+02
2014,04,08,13,13,28.27,1538.61,811.20,268.40, 22.54,27.80, 8.77, 8.71,2.88e+03,1.80e+02
2014,04,08,13,14,10.51,1564.27,749.63,293.53, 21.87,25.60, 9.60, 8.56,3.04e+03,1.84e+02
2014,04,08,13,14,11.76,1564.99,747.79,294.27, 21.85,25.54, 9.63, 8.56,3.61e+03,2.01e+02
2014,04,08,13,14,13.01,1565.71,745.95,295.01, 21.83,25.47, 9.65, 8.55,2.59e+03,1.70e+02
2014,04,08,13,14,25.51,1572.77,727.47,302.35, 21.65,24.82, 9.90, 8.51,3.32e+03,1.93e+02
2014,04,08,13,15,7.75,1595.00,664.29,326.83, 21.04,22.61,10.71, 8.36,2.81e+03,1.78e+02
2014,04,08,13,15,9.00,1595.62,662.40,327.55, 21.02,22.55,10.74, 8.36,3.47e+03,1.97e+02
2014,04,08,13,15,10.25,1596.23,660.52,328.26, 21.01,22.48,10.76, 8.35,3.32e+03,1.93e+02
