Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,04,10,08,21,45.52,1157.80,1320.37,-260.89, 37.98,48.75,-8.45,11.56,1.54e+03,6.85e+02
2014,04,10,08,21,46.77,1159.32,1319.15,-260.15, 37.95,48.69,-8.43,11.56,9.22e+02,5.30e+02
2014,04,10,08,21,48.02,1160.84,1317.92,-259.41, 37.92,48.63,-8.40,11.55,2.16e+03,8.11e+02
2014,04,10,08,22,27.02,1207.45,1278.67,-236.05, 37.04,46.64,-7.64,11.42,1.23e+03,6.13e+02
2014,04,10,08,22,42.77,1225.81,1262.33,-226.53, 36.70,45.84,-7.34,11.37,1.23e+03,6.13e+02
2014,04,10,08,22,44.02,1227.26,1261.03,-225.77, 36.67,45.78,-7.31,11.36,1.54e+03,6.85e+02
2014,04,10,08,22,45.27,1228.70,1259.72,-225.01, 36.64,45.71,-7.29,11.36,3.05e+02,3.05e+02
2014,04,10,08,23,24.27,1272.91,1217.97,-201.21, 35.80,43.74,-6.52,11.23,3.05e+02,3.05e+02
2014,04,10,08,23,40.01,1290.26,1200.65,-191.52, 35.46,42.94,-6.20,11.17,1.54e+03,6.85e+02
2014,04,10,08,23,41.26,1291.63,1199.27,-190.75, 35.43,42.88,-6.18,11.17,1.54e+03,6.85e+02
2014,04,10,08,23,42.51,1293.00,1197.88,-189.98, 35.41,42.81,-6.15,11.16,6.17e+02,4.34e+02
2014,04,10,08,24,21.50,1334.67,1153.75,-165.79, 34.59,40.84,-5.37,11.03,2.47e+03,8.67e+02
2014,04,10,08,24,37.26,1350.99,1135.48,-155.96, 34.27,40.05,-5.05,10.98,3.05e+02,3.05e+02
2014,04,10,08,24,38.51,1352.27,1134.02,-155.18, 34.24,39.98,-5.02,10.98,1.23e+03,6.13e+02
2014,04,10,08,24,39.76,1353.55,1132.56,-154.39, 34.22,39.92,-5.00,10.97,1.23e+03,6.13e+02
2014,04,10,08,25,18.75,1392.56,1086.16,-129.89, 33.43,37.95,-4.21,10.84,1.54e+03,6.85e+02
2014,04,10,08,25,34.49,1407.78,1067.02,-119.95, 33.13,37.16,-3.88,10.79,1.23e+03,6.14e+02
2014,04,10,08,25,35.74,1408.98,1065.49,-119.16, 33.10,37.10,-3.86,10.78,1.23e+03,6.14e+02
2014,04,10,08,25,36.99,1410.17,1063.96,-118.37, 33.08,37.03,-3.83,10.78,2.16e+03,8.11e+02
2014,04,10,08,26,15.99,1446.40,1015.43,-93.62, 32.33,35.07,-3.03,10.65,3.05e+02,3.05e+02
2014,04,10,08,26,31.73,1460.48,995.45,-83.59, 32.04,34.28,-2.71,10.60,9.23e+02,5.31e+02
2014,04,10,08,26,32.98,1461.58,993.86,-82.80, 32.02,34.22,-2.68,10.59,2.47e+03,8.68e+02
2014,04,10,08,26,34.23,1462.68,992.26,-82.00, 31.99,34.15,-2.66,10.59,3.05e+02,3.05e+02
2014,04,10,08,27,13.23,1496.03,941.74,-57.08, 31.29,32.19,-1.85,10.46,1.54e+03,6.86e+02
2014,04,10,08,27,28.98,1508.93,920.97,-46.99, 31.01,31.40,-1.52,10.41,1.24e+03,6.15e+02
2014,04,10,08,27,30.23,1509.94,919.32,-46.19, 30.99,31.33,-1.50,10.40,6.18e+02,4.35e+02
2014,04,10,08,27,31.48,1510.95,917.66,-45.39, 30.96,31.27,-1.47,10.40,1.86e+03,7.53e+02
2014,04,10,08,28,10.48,1541.30,865.29,-20.37, 30.30,29.31,-0.66,10.27,9.24e+02,5.31e+02
2014,04,10,08,28,26.23,1552.97,843.82,-10.26, 30.04,28.52,-0.33,10.21,6.19e+02,4.35e+02
2014,04,10,08,28,27.48,1553.88,842.10, -9.46, 30.02,28.45,-0.31,10.21,1.86e+03,7.53e+02
2014,04,10,08,28,28.73,1554.79,840.39, -8.65, 30.00,28.39,-0.28,10.21,6.19e+02,4.35e+02
2014,04,10,08,29,7.72,1582.06,786.32, 16.40, 29.37,26.43, 0.53,10.08,1.24e+03,6.16e+02
2014,04,10,08,29,23.48,1592.47,764.17, 26.51, 29.13,25.63, 0.86,10.02,0.00e+00,0.00e+00
2014,04,10,08,29,24.73,1593.28,762.41, 27.31, 29.11,25.57, 0.89,10.02,1.54e+03,6.88e+02
2014,04,10,08,29,25.98,1594.09,760.64, 28.11, 29.09,25.51, 0.91,10.02,9.25e+02,5.32e+02
2014,04,10,08,30,4.97,1618.20,705.03, 53.12, 28.51,23.54, 1.72, 9.88,1.86e+03,7.55e+02
2014,04,10,08,30,20.72,1627.30,682.31, 63.19, 28.29,22.75, 2.05, 9.83,1.86e+03,7.55e+02
2014,04,10,08,30,21.97,1628.01,680.50, 63.99, 28.27,22.68, 2.08, 9.83,9.26e+02,5.33e+02
2014,04,10,08,30,23.22,1628.72,678.68, 64.79, 28.25,22.62, 2.10, 9.82,1.24e+03,6.16e+02
2014,04,10,08,31,2.21,1649.58,621.69, 89.68, 27.72,20.65, 2.91, 9.69,9.27e+02,5.33e+02
2014,04,10,08,31,17.97,1657.36,598.42, 99.70, 27.51,19.85, 3.24, 9.64,9.27e+02,5.33e+02
2014,04,10,08,31,19.22,1657.97,596.57,100.49, 27.49,19.79, 3.26, 9.64,3.06e+02,3.06e+02
2014,04,10,08,31,20.47,1658.57,594.72,101.28, 27.48,19.73, 3.29, 9.63,1.24e+03,6.17e+02
2014,04,10,08,31,59.47,1676.12,536.50,125.98, 26.99,17.75, 4.09, 9.50,6.21e+02,4.36e+02
2014,04,10,08,32,15.21,1682.55,512.80,135.90, 26.80,16.95, 4.42, 9.45,6.21e+02,4.36e+02
2014,04,10,08,32,16.45,1683.05,510.91,136.69, 26.79,16.89, 4.44, 9.44,2.48e+03,8.73e+02
2014,04,10,08,32,17.70,1683.54,509.02,137.48, 26.77,16.82, 4.47, 9.44,3.07e+02,3.07e+02
2014,04,10,08,32,56.70,1697.72,449.76,161.91, 26.34,14.84, 5.27, 9.31,9.28e+02,5.34e+02
2014,04,10,08,33,12.45,1702.79,425.67,171.71, 26.17,14.04, 5.59, 9.25,9.29e+02,5.34e+02
2014,04,10,08,33,13.70,1703.18,423.75,172.49, 26.15,13.97, 5.61, 9.25,1.55e+03,6.90e+02
2014,04,10,08,33,14.95,1703.56,421.83,173.27, 26.14,13.91, 5.64, 9.24,9.29e+02,5.34e+02
2014,04,10,08,33,53.95,1714.33,361.70,197.37, 25.75,11.91, 6.43, 9.11,1.55e+03,6.90e+02
2014,04,10,08,34,9.70,1718.02,337.27,207.03, 25.61,11.11, 6.74, 9.06,1.87e+03,7.57e+02
2014,04,10,08,34,10.95,1718.30,335.32,207.79, 25.60,11.04, 6.77, 9.05,1.87e+03,7.57e+02
2014,04,10,08,34,12.20,1718.57,333.38,208.56, 25.59,10.98, 6.79, 9.05,6.22e+02,4.37e+02
2014,04,10,08,34,51.20,1725.90,272.55,232.25, 25.25, 8.97, 7.57, 8.92,1.24e+03,6.19e+02
2014,04,10,08,35,6.94,1728.18,247.89,241.73, 25.13, 8.16, 7.88, 8.86,2.80e+03,9.27e+02
2014,04,10,08,35,8.19,1728.35,245.93,242.48, 25.12, 8.10, 7.91, 8.86,1.25e+03,6.19e+02
2014,04,10,08,35,9.44,1728.51,243.96,243.23, 25.11, 8.03, 7.93, 8.86,9.30e+02,5.35e+02
2014,04,10,08,35,48.44,1732.36,182.61,266.44, 24.82, 6.02, 8.70, 8.72,2.18e+03,8.18e+02
2014,04,10,08,36,4.18,1733.25,157.76,275.72, 24.72, 5.20, 9.00, 8.67,2.18e+03,8.18e+02
2014,04,10,08,36,5.43,1733.30,155.79,276.45, 24.71, 5.14, 9.03, 8.66,1.25e+03,6.19e+02
2014,04,10,08,36,6.69,1733.35,153.81,277.19, 24.70, 5.07, 9.05, 8.66,1.87e+03,7.58e+02
2014,04,10,08,36,45.69,1733.72, 92.12,299.86, 24.47, 3.04, 9.80, 8.52,6.23e+02,4.38e+02
2014,04,10,08,37,1.43,1733.20, 67.19,308.90, 24.39, 2.22,10.10, 8.47,1.55e+03,6.92e+02
2014,04,10,08,37,2.67,1733.14, 65.20,309.61, 24.38, 2.15,10.12, 8.46,2.80e+03,9.29e+02
2014,04,10,08,37,3.92,1733.08, 63.22,310.33, 24.38, 2.09,10.15, 8.46,6.23e+02,4.38e+02
2014,04,10,08,37,42.92,1729.96,  1.38,332.39, 24.20, 0.05,10.88, 8.32,9.32e+02,5.36e+02
2014,04,10,08,37,58.67,1728.02,-23.60,341.17, 24.14,-0.78,11.17, 8.27,2.80e+03,9.29e+02
2014,04,10,08,37,59.92,1727.85,-25.58,341.87, 24.14,-0.85,11.19, 8.27,2.18e+03,8.19e+02
2014,04,10,08,38,1.18,1727.68,-27.57,342.56, 24.13,-0.91,11.21, 8.26,2.49e+03,8.77e+02
2014,04,10,08,38,40.17,1721.08,-89.38,363.95, 24.01,-2.97,11.92, 8.12,1.87e+03,7.60e+02
2014,04,10,08,38,55.91,1717.75,-114.30,372.44, 23.97,-3.81,12.21, 8.07,4.37e+03,1.16e+03
2014,04,10,08,38,57.16,1717.46,-116.28,373.11, 23.97,-3.87,12.23, 8.06,1.56e+03,6.93e+02
2014,04,10,08,38,58.41,1717.18,-118.26,373.78, 23.97,-3.94,12.25, 8.06,2.50e+03,8.77e+02
2014,04,10,08,39,37.41,1707.12,-179.87,394.43, 23.90,-6.01,12.94, 7.92,2.18e+03,8.20e+02
2014,04,10,08,39,53.16,1702.39,-204.66,402.61, 23.88,-6.86,13.21, 7.87,2.50e+03,8.78e+02
2014,04,10,08,39,54.41,1702.00,-206.63,403.26, 23.88,-6.92,13.24, 7.86,1.87e+03,7.60e+02
2014,04,10,08,39,55.66,1701.60,-208.60,403.90, 23.88,-6.99,13.26, 7.86,2.18e+03,8.20e+02
2014,04,10,08,40,34.66,1688.11,-269.82,423.75, 23.87,-9.08,13.92, 7.72,4.37e+03,1.16e+03
2014,04,10,08,40,50.41,1682.00,-294.44,431.60, 23.87,-9.93,14.18, 7.66,1.87e+03,7.60e+02
2014,04,10,08,40,51.66,1681.50,-296.39,432.22, 23.87,-10.00,14.21, 7.66,1.56e+03,6.93e+02
2014,04,10,08,40,52.91,1680.99,-298.34,432.83, 23.87,-10.06,14.23, 7.65,3.43e+03,1.03e+03
2014,04,10,08,41,31.91,1664.10,-358.98,451.82, 23.91,-12.17,14.86, 7.51,3.75e+03,1.08e+03
2014,04,10,08,41,47.65,1656.63,-383.32,459.31, 23.94,-13.03,15.12, 7.46,2.50e+03,8.79e+02
2014,04,10,08,41,48.90,1656.02,-385.25,459.90, 23.94,-13.10,15.14, 7.45,4.69e+03,1.20e+03
2014,04,10,08,41,50.15,1655.41,-387.18,460.49, 23.95,-13.16,15.16, 7.45,4.06e+03,1.12e+03
2014,04,10,08,42,29.15,1635.17,-447.07,478.55, 24.04,-15.29,15.76, 7.31,5.00e+03,1.24e+03
2014,04,10,08,42,44.90,1626.36,-471.09,485.67, 24.09,-16.15,16.00, 7.25,5.63e+03,1.32e+03
2014,04,10,08,42,46.15,1625.65,-472.99,486.23, 24.09,-16.22,16.02, 7.25,4.06e+03,1.12e+03
2014,04,10,08,42,47.40,1624.93,-474.89,486.78, 24.10,-16.29,16.04, 7.24,3.13e+03,9.83e+02
2014,04,10,08,43,26.40,1601.41,-533.85,503.89, 24.25,-18.44,16.62, 7.10,2.50e+03,8.79e+02
2014,04,10,08,43,42.13,1591.29,-557.44,510.59, 24.32,-19.31,16.85, 7.04,5.32e+03,1.28e+03
2014,04,10,08,43,43.38,1590.47,-559.31,511.12, 24.32,-19.37,16.87, 7.04,4.06e+03,1.12e+03
2014,04,10,08,43,44.63,1589.65,-561.18,511.65, 24.33,-19.44,16.88, 7.03,5.63e+03,1.32e+03
2014,04,10,08,44,23.64,1562.91,-619.03,527.73, 24.53,-21.61,17.43, 6.89,4.07e+03,1.12e+03
2014,04,10,08,44,39.38,1551.51,-642.16,534.02, 24.62,-22.48,17.64, 6.83,4.38e+03,1.16e+03
2014,04,10,08,44,40.63,1550.59,-643.99,534.52, 24.63,-22.55,17.66, 6.82,5.64e+03,1.32e+03
2014,04,10,08,44,41.88,1549.67,-645.82,535.01, 24.64,-22.62,17.68, 6.82,4.69e+03,1.20e+03
2014,04,10,08,45,20.89,1519.80,-702.40,550.03, 24.89,-24.80,18.19, 6.68,6.57e+03,1.43e+03
2014,04,10,08,45,36.63,1507.15,-724.96,555.88, 25.01,-25.69,18.39, 6.62,8.15e+03,1.59e+03
2014,04,10,08,45,37.88,1506.13,-726.75,556.34, 25.02,-25.76,18.40, 6.61,8.45e+03,1.62e+03
2014,04,10,08,45,39.13,1505.11,-728.53,556.80, 25.03,-25.83,18.42, 6.61,3.76e+03,1.08e+03
2014,04,10,08,46,18.13,1472.20,-783.67,570.71, 25.33,-28.03,18.89, 6.46,8.77e+03,1.65e+03
2014,04,10,08,46,33.87,1458.35,-805.63,576.11, 25.47,-28.92,19.07, 6.40,6.27e+03,1.39e+03
2014,04,10,08,46,35.12,1457.23,-807.36,576.53, 25.48,-28.99,19.09, 6.40,1.00e+04,1.76e+03
2014,04,10,08,46,36.37,1456.11,-809.10,576.96, 25.49,-29.06,19.10, 6.39,7.52e+03,1.53e+03
2014,04,10,08,47,15.37,1420.26,-862.63,589.72, 25.85,-31.27,19.54, 6.25,8.15e+03,1.59e+03
2014,04,10,08,47,31.11,1405.23,-883.92,594.65, 26.01,-32.17,19.71, 6.19,1.25e+04,1.97e+03
2014,04,10,08,47,32.37,1404.02,-885.60,595.04, 26.02,-32.24,19.72, 6.18,7.84e+03,1.56e+03
2014,04,10,08,47,33.62,1402.81,-887.28,595.42, 26.03,-32.31,19.73, 6.18,1.41e+04,2.09e+03
2014,04,10,08,48,12.62,1364.13,-939.06,607.00, 26.44,-34.54,20.13, 6.03,1.16e+04,1.90e+03
2014,04,10,08,48,28.36,1347.98,-959.60,611.45, 26.61,-35.45,20.28, 5.97,1.13e+04,1.87e+03
2014,04,10,08,48,29.61,1346.69,-961.22,611.79, 26.63,-35.52,20.29, 5.96,1.44e+04,2.11e+03
2014,04,10,08,48,30.86,1345.39,-962.84,612.14, 26.64,-35.59,20.30, 5.96,1.04e+04,1.79e+03
2014,04,10,08,49,9.86,1303.99,-1012.71,622.51, 27.10,-37.83,20.66, 5.81,1.25e+04,1.97e+03
2014,04,10,08,49,25.61,1286.76,-1032.46,626.45, 27.30,-38.74,20.79, 5.75,1.44e+04,2.12e+03
2014,04,10,08,49,26.86,1285.38,-1034.01,626.76, 27.31,-38.81,20.80, 5.74,1.32e+04,2.02e+03
2014,04,10,08,49,28.11,1284.00,-1035.57,627.07, 27.33,-38.89,20.81, 5.74,1.41e+04,2.09e+03
2014,04,10,08,50,7.11,1240.00,-1083.38,636.19, 27.83,-41.14,21.12, 5.59,1.66e+04,2.27e+03
2014,04,10,08,50,22.84,1221.76,-1102.26,639.62, 28.05,-42.06,21.24, 5.53,1.76e+04,2.34e+03
2014,04,10,08,50,24.09,1220.30,-1103.75,639.89, 28.07,-42.13,21.25, 5.52,1.66e+04,2.27e+03
2014,04,10,08,50,25.34,1218.84,-1105.24,640.16, 28.08,-42.20,21.26, 5.52,1.85e+04,2.40e+03
2014,04,10,08,51,4.34,1172.39,-1150.86,648.01, 28.64,-44.47,21.53, 5.37,1.35e+04,2.05e+03
2014,04,10,08,51,20.09,1153.17,-1168.84,650.93, 28.87,-45.39,21.63, 5.31,1.48e+04,2.14e+03
2014,04,10,08,51,21.34,1151.63,-1170.26,651.16, 28.89,-45.46,21.63, 5.30,1.70e+04,2.29e+03
2014,04,10,08,51,22.59,1150.09,-1171.67,651.38, 28.91,-45.53,21.64, 5.30,1.88e+04,2.42e+03
2014,04,10,08,52,1.60,1101.32,-1214.97,657.94, 29.50,-47.81,21.86, 5.15,1.85e+04,2.40e+03
2014,04,10,08,52,17.34,1081.20,-1231.98,660.34, 29.75,-48.73,21.94, 5.09,1.79e+04,2.36e+03
2014,04,10,08,52,18.59,1079.60,-1233.32,660.52, 29.77,-48.80,21.95, 5.08,1.98e+04,2.48e+03
2014,04,10,08,52,19.84,1077.99,-1234.66,660.70, 29.79,-48.88,21.95, 5.08,1.98e+04,2.48e+03
2014,04,10,08,52,58.84,1027.04,-1275.51,665.96, 30.43,-51.16,22.13, 4.92,1.76e+04,2.34e+03
2014,04,10,08,53,14.57,1006.07,-1291.51,667.82, 30.70,-52.08,22.19, 4.86,1.89e+04,2.42e+03
