Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ar Abundance (/cc),STD (/cc)
2014,04,17,02,56,26.97,-1464.28,-700.07,691.20, 26.68,-154.45,23.07, 3.51,2.10e+00,4.67e+00
2014,04,17,02,56,28.22,-1465.27,-698.23,691.05, 26.71,-154.52,23.06, 3.51,2.07e+00,4.64e+00
2014,04,17,02,56,29.47,-1466.25,-696.39,690.90, 26.74,-154.59,23.06, 3.50,2.04e+00,4.61e+00
2014,04,17,02,56,41.97,-1475.99,-677.94,689.33, 27.06,-155.33,23.00, 3.45,1.74e+00,4.26e+00
2014,04,17,02,57,24.21,-1507.35,-614.90,683.32, 28.14,-157.81,22.77, 3.29,7.93e-01,2.88e+00
2014,04,17,02,57,25.46,-1508.24,-613.02,683.12, 28.17,-157.88,22.76, 3.28,1.12e+01,1.08e+01
2014,04,17,02,57,26.71,-1509.13,-611.14,682.93, 28.20,-157.95,22.76, 3.28,7.40e-01,2.78e+00
2014,04,17,02,57,39.21,-1517.90,-592.27,680.92, 28.52,-158.68,22.68, 3.23,1.09e+01,1.07e+01
2014,04,17,02,58,21.45,-1545.98,-527.92,673.44, 29.60,-161.15,22.40, 3.07,0.00e+00,1.89e+00
2014,04,17,02,58,22.70,-1546.78,-526.01,673.20, 29.63,-161.22,22.39, 3.06,0.00e+00,1.95e+00
2014,04,17,02,58,23.95,-1547.57,-524.09,672.96, 29.66,-161.29,22.39, 3.06,0.00e+00,2.01e+00
2014,04,17,02,58,36.45,-1555.36,-504.87,670.52, 29.98,-162.02,22.30, 3.01,0.00e+00,2.53e+00
2014,04,17,02,59,18.70,-1580.09,-439.39,661.59, 31.06,-164.46,21.97, 2.85,0.00e+00,3.69e+00
2014,04,17,02,59,19.95,-1580.79,-437.44,661.31, 31.09,-164.53,21.96, 2.84,0.00e+00,3.72e+00
2014,04,17,02,59,21.20,-1581.48,-435.49,661.03, 31.13,-164.60,21.95, 2.84,0.00e+00,3.74e+00
2014,04,17,02,59,33.70,-1588.27,-415.97,658.17, 31.45,-165.32,21.84, 2.79,0.00e+00,3.99e+00
2014,04,17,03,00,15.94,-1609.58,-349.58,647.82, 32.52,-167.75,21.47, 2.63,0.00e+00,4.67e+00
2014,04,17,03,00,17.19,-1610.17,-347.61,647.50, 32.56,-167.82,21.46, 2.62,0.00e+00,4.68e+00
2014,04,17,03,00,18.44,-1610.76,-345.63,647.18, 32.59,-167.89,21.45, 2.62,0.00e+00,4.70e+00
2014,04,17,03,00,30.94,-1616.54,-325.87,643.90, 32.91,-168.60,21.33, 2.57,0.00e+00,4.86e+00
2014,04,17,03,01,13.19,-1634.38,-258.74,632.17, 33.98,-171.00,20.91, 2.41,0.00e+00,5.29e+00
2014,04,17,03,01,14.44,-1634.87,-256.75,631.81, 34.01,-171.07,20.90, 2.40,0.00e+00,5.30e+00
2014,04,17,03,01,15.69,-1635.36,-254.75,631.44, 34.05,-171.15,20.88, 2.40,1.86e+01,1.59e+01
2014,04,17,03,01,28.19,-1640.10,-234.80,627.76, 34.36,-171.85,20.75, 2.35,0.00e+00,5.41e+00
2014,04,17,03,02,10.43,-1654.43,-167.16,614.69, 35.43,-174.23,20.29, 2.20,0.00e+00,5.68e+00
