Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2013,12,16,08,59,58.57,1677.39,177.75,-555.69, 38.56, 6.05,-18.23,11.43,1.17e+03,5.79e+02
2013,12,16,08,59,59.82,1677.76,175.75,-555.19, 38.55, 5.98,-18.22,11.42,2.88e+02,2.88e+02
2013,12,16,09,00,18.57,1682.89,145.70,-547.63, 38.34, 4.95,-17.96,11.35,5.83e+02,4.10e+02
2013,12,16,09,00,19.82,1683.21,143.70,-547.12, 38.32, 4.88,-17.95,11.35,1.75e+03,7.10e+02
2013,12,16,09,00,38.57,1687.79,113.61,-539.38, 38.12, 3.85,-17.69,11.28,8.71e+02,5.01e+02
2013,12,16,09,00,39.82,1688.08,111.60,-538.86, 38.11, 3.78,-17.67,11.28,1.17e+03,5.80e+02
2013,12,16,09,00,58.56,1692.10, 81.49,-530.95, 37.91, 2.76,-17.40,11.21,1.46e+03,6.48e+02
2013,12,16,09,00,59.81,1692.35, 79.48,-530.41, 37.90, 2.69,-17.38,11.20,1.17e+03,5.80e+02
2013,12,16,09,01,18.56,1695.81, 49.32,-522.32, 37.71, 1.67,-17.11,11.13,2.88e+02,2.88e+02
2013,12,16,09,01,19.81,1696.02, 47.31,-521.78, 37.70, 1.60,-17.09,11.13,5.84e+02,4.10e+02
2013,12,16,09,01,38.55,1698.92, 17.16,-513.52, 37.51, 0.58,-16.82,11.06,0.00e+00,0.00e+00
2013,12,16,09,01,39.80,1699.09, 15.15,-512.96, 37.50, 0.51,-16.80,11.06,8.73e+02,5.02e+02
2013,12,16,09,01,58.55,1701.43,-15.03,-504.53, 37.33,-0.51,-16.52,10.99,1.75e+03,7.11e+02
2013,12,16,09,01,59.80,1701.57,-17.04,-503.97, 37.31,-0.57,-16.50,10.98,8.73e+02,5.02e+02
2013,12,16,09,02,18.55,1703.34,-47.21,-495.37, 37.14,-1.59,-16.21,10.92,1.46e+03,6.49e+02
2013,12,16,09,02,19.80,1703.44,-49.22,-494.79, 37.13,-1.66,-16.19,10.91,8.74e+02,5.02e+02
2013,12,16,09,02,38.55,1704.66,-79.38,-486.03, 36.97,-2.67,-15.90,10.84,8.74e+02,5.03e+02
2013,12,16,09,02,39.80,1704.72,-81.39,-485.44, 36.96,-2.73,-15.88,10.84,8.74e+02,5.03e+02
2013,12,16,09,02,58.55,1705.37,-111.51,-476.52, 36.80,-3.74,-15.58,10.77,8.75e+02,5.03e+02
2013,12,16,09,02,59.80,1705.39,-113.52,-475.92, 36.79,-3.81,-15.56,10.77,8.75e+02,5.03e+02
2013,12,16,09,03,18.55,1705.47,-143.61,-466.85, 36.64,-4.81,-15.26,10.70,1.76e+03,7.13e+02
2013,12,16,09,03,19.80,1705.46,-145.62,-466.24, 36.63,-4.88,-15.24,10.70,8.76e+02,5.03e+02
2013,12,16,09,03,38.54,1704.98,-175.64,-457.01, 36.48,-5.88,-14.93,10.63,8.76e+02,5.04e+02
2013,12,16,09,03,39.79,1704.93,-177.64,-456.39, 36.48,-5.95,-14.91,10.63,1.17e+03,5.83e+02
2013,12,16,09,03,58.54,1703.88,-207.63,-447.01, 36.34,-6.95,-14.60,10.56,1.17e+03,5.83e+02
2013,12,16,09,03,59.79,1703.79,-209.63,-446.38, 36.33,-7.01,-14.58,10.55,1.17e+03,5.83e+02
2013,12,16,09,04,18.54,1702.18,-239.54,-436.85, 36.20,-8.01,-14.26,10.49,2.90e+02,2.90e+02
2013,12,16,09,04,19.79,1702.06,-241.53,-436.21, 36.19,-8.08,-14.24,10.48,1.47e+03,6.52e+02
2013,12,16,09,04,38.54,1699.88,-271.37,-426.54, 36.07,-9.07,-13.92,10.42,8.78e+02,5.05e+02
2013,12,16,09,04,39.79,1699.72,-273.36,-425.89, 36.06,-9.14,-13.90,10.41,1.47e+03,6.53e+02
2013,12,16,09,04,58.53,1696.98,-303.09,-416.08, 35.94,-10.13,-13.57,10.35,8.79e+02,5.06e+02
2013,12,16,09,04,59.78,1696.78,-305.07,-415.42, 35.94,-10.19,-13.55,10.34,5.89e+02,4.14e+02
2013,12,16,09,05,18.53,1693.48,-334.71,-405.48, 35.83,-11.18,-13.22,10.28,5.89e+02,4.14e+02
2013,12,16,09,05,19.78,1693.25,-336.69,-404.81, 35.82,-11.25,-13.20,10.27,1.77e+03,7.17e+02
2013,12,16,09,05,38.53,1689.38,-366.22,-394.72, 35.72,-12.23,-12.86,10.21,5.90e+02,4.14e+02
2013,12,16,09,05,39.78,1689.11,-368.19,-394.05, 35.71,-12.30,-12.84,10.20,1.47e+03,6.54e+02
2013,12,16,09,05,58.53,1684.69,-397.60,-383.83, 35.62,-13.28,-12.50,10.14,5.90e+02,4.15e+02
2013,12,16,09,05,59.78,1684.37,-399.55,-383.15, 35.61,-13.34,-12.48,10.13,5.90e+02,4.15e+02
2013,12,16,09,06,18.53,1679.39,-428.84,-372.81, 35.52,-14.32,-12.14,10.07,1.18e+03,5.87e+02
2013,12,16,09,06,19.78,1679.04,-430.78,-372.12, 35.52,-14.39,-12.12,10.06,8.82e+02,5.07e+02
2013,12,16,09,06,38.53,1673.51,-459.92,-361.65, 35.44,-15.37,-11.77,10.00,2.36e+03,8.31e+02
2013,12,16,09,06,39.78,1673.12,-461.86,-360.95, 35.43,-15.43,-11.75, 9.99,0.00e+00,0.00e+00
2013,12,16,09,06,58.52,1667.03,-490.83,-350.38, 35.36,-16.41,-11.40, 9.93,1.78e+03,7.20e+02
2013,12,16,09,06,59.77,1666.61,-492.76,-349.67, 35.35,-16.47,-11.38, 9.92,2.07e+03,7.77e+02
2013,12,16,09,07,18.52,1659.96,-521.58,-338.97, 35.29,-17.44,-11.02, 9.86,2.07e+03,7.78e+02
2013,12,16,09,07,19.77,1659.50,-523.50,-338.25, 35.28,-17.51,-11.00, 9.86,1.48e+03,6.57e+02
2013,12,16,09,07,38.52,1652.30,-552.15,-327.44, 35.22,-18.48,-10.64, 9.79,2.07e+03,7.79e+02
2013,12,16,09,07,39.77,1651.81,-554.05,-326.72, 35.22,-18.54,-10.62, 9.79,1.78e+03,7.22e+02
2013,12,16,09,07,58.52,1644.06,-582.52,-315.80, 35.17,-19.51,-10.26, 9.72,1.48e+03,6.58e+02
2013,12,16,09,07,59.77,1643.53,-584.41,-315.07, 35.17,-19.57,-10.24, 9.72,1.48e+03,6.58e+02
2013,12,16,09,08,18.52,1635.24,-612.68,-304.05, 35.12,-20.54,-9.88, 9.65,2.07e+03,7.80e+02
2013,12,16,09,08,19.77,1634.67,-614.56,-303.31, 35.12,-20.60,-9.85, 9.65,1.19e+03,5.90e+02
2013,12,16,09,08,38.52,1625.84,-642.63,-292.19, 35.08,-21.57,-9.49, 9.59,8.88e+02,5.10e+02
2013,12,16,09,08,39.77,1625.23,-644.49,-291.44, 35.08,-21.63,-9.46, 9.58,8.88e+02,5.10e+02
2013,12,16,09,08,58.51,1615.86,-672.34,-280.23, 35.05,-22.59,-9.10, 9.52,8.89e+02,5.11e+02
2013,12,16,09,08,59.76,1615.22,-674.19,-279.48, 35.05,-22.66,-9.07, 9.51,1.48e+03,6.60e+02
2013,12,16,09,09,18.51,1605.31,-701.82,-268.17, 35.03,-23.61,-8.70, 9.45,1.79e+03,7.25e+02
2013,12,16,09,09,19.76,1604.63,-703.65,-267.41, 35.02,-23.68,-8.68, 9.45,2.08e+03,7.82e+02
2013,12,16,09,09,38.51,1594.19,-731.06,-256.01, 35.01,-24.63,-8.31, 9.38,2.08e+03,7.83e+02
2013,12,16,09,09,39.76,1593.48,-732.87,-255.25, 35.01,-24.70,-8.28, 9.38,2.94e+02,2.94e+02
2013,12,16,09,09,58.51,1582.51,-760.03,-243.77, 35.00,-25.65,-7.91, 9.32,1.49e+03,6.62e+02
2013,12,16,09,09,59.76,1581.76,-761.83,-243.00, 35.00,-25.72,-7.88, 9.31,1.19e+03,5.93e+02
2013,12,16,09,10,18.51,1570.26,-788.74,-231.43, 35.00,-26.67,-7.50, 9.25,2.95e+02,2.95e+02
2013,12,16,09,10,19.76,1569.48,-790.52,-230.66, 35.00,-26.73,-7.48, 9.24,1.19e+03,5.93e+02
2013,12,16,09,10,38.51,1557.46,-817.17,-219.02, 35.01,-27.69,-7.10, 9.18,2.39e+03,8.39e+02
2013,12,16,09,10,39.76,1556.64,-818.94,-218.24, 35.01,-27.75,-7.07, 9.18,2.09e+03,7.85e+02
2013,12,16,09,10,58.50,1544.12,-845.29,-206.54, 35.02,-28.70,-6.69, 9.11,5.98e+02,4.20e+02
2013,12,16,09,10,59.75,1543.26,-847.04,-205.75, 35.02,-28.76,-6.67, 9.11,5.98e+02,4.20e+02
2013,12,16,09,11,18.50,1530.22,-873.13,-193.97, 35.04,-29.71,-6.28, 9.05,8.94e+02,5.14e+02
2013,12,16,09,11,19.75,1529.33,-874.86,-193.19, 35.04,-29.77,-6.26, 9.04,0.00e+00,0.00e+00
2013,12,16,09,11,38.49,1515.78,-900.65,-181.35, 35.07,-30.72,-5.87, 8.98,1.49e+03,6.64e+02
2013,12,16,09,11,39.74,1514.86,-902.36,-180.56, 35.07,-30.78,-5.85, 8.98,1.49e+03,6.64e+02
2013,12,16,09,11,58.49,1500.80,-927.86,-168.65, 35.11,-31.73,-5.46, 8.91,2.40e+03,8.42e+02
2013,12,16,09,11,59.74,1499.85,-929.55,-167.86, 35.11,-31.79,-5.43, 8.91,1.49e+03,6.65e+02
2013,12,16,09,12,18.49,1485.29,-954.75,-155.90, 35.15,-32.73,-5.05, 8.85,8.96e+02,5.15e+02
2013,12,16,09,12,19.74,1484.31,-956.42,-155.10, 35.16,-32.80,-5.02, 8.84,2.10e+03,7.88e+02
2013,12,16,09,12,38.49,1469.26,-981.29,-143.09, 35.21,-33.74,-4.63, 8.78,1.20e+03,5.96e+02
2013,12,16,09,12,39.74,1468.24,-982.94,-142.28, 35.21,-33.80,-4.60, 8.78,1.20e+03,5.96e+02
2013,12,16,09,12,58.49,1452.70,-1007.49,-130.23, 35.27,-34.74,-4.21, 8.71,1.50e+03,6.66e+02
2013,12,16,09,12,59.74,1451.65,-1009.12,-129.42, 35.27,-34.81,-4.19, 8.71,1.50e+03,6.66e+02
2013,12,16,09,13,18.49,1435.63,-1033.33,-117.32, 35.33,-35.75,-3.79, 8.65,2.10e+03,7.89e+02
2013,12,16,09,13,19.74,1434.55,-1034.94,-116.51, 35.34,-35.81,-3.77, 8.64,1.50e+03,6.67e+02
2013,12,16,09,13,38.48,1418.06,-1058.80,-104.38, 35.41,-36.75,-3.38, 8.58,1.80e+03,7.32e+02
2013,12,16,09,13,39.73,1416.94,-1060.38,-103.57, 35.41,-36.81,-3.35, 8.58,1.20e+03,5.98e+02
2013,12,16,09,13,58.48,1399.98,-1083.90,-91.39, 35.49,-37.75,-2.95, 8.52,2.10e+03,7.90e+02
2013,12,16,09,13,59.73,1398.83,-1085.46,-90.58, 35.49,-37.81,-2.93, 8.51,8.99e+02,5.17e+02
2013,12,16,09,14,18.48,1381.40,-1108.62,-78.38, 35.58,-38.75,-2.53, 8.45,2.10e+03,7.91e+02
2013,12,16,09,14,19.73,1380.22,-1110.15,-77.56, 35.58,-38.81,-2.51, 8.45,2.10e+03,7.91e+02
2013,12,16,09,14,38.48,1362.34,-1132.94,-65.33, 35.67,-39.75,-2.11, 8.38,6.03e+02,4.23e+02
2013,12,16,09,14,39.73,1361.13,-1134.45,-64.52, 35.68,-39.81,-2.09, 8.38,2.41e+03,8.47e+02
2013,12,16,09,14,58.47,1342.80,-1156.85,-52.27, 35.78,-40.75,-1.69, 8.32,6.03e+02,4.24e+02
2013,12,16,09,14,59.72,1341.56,-1158.34,-51.46, 35.78,-40.81,-1.66, 8.31,1.50e+03,6.69e+02
2013,12,16,09,15,18.47,1322.78,-1180.37,-39.19, 35.89,-41.74,-1.27, 8.25,2.41e+03,8.48e+02
2013,12,16,09,15,19.72,1321.51,-1181.83,-38.37, 35.90,-41.81,-1.24, 8.25,2.41e+03,8.48e+02
2013,12,16,09,15,38.47,1302.29,-1203.47,-26.09, 36.01,-42.74,-0.84, 8.19,9.02e+02,5.19e+02
2013,12,16,09,15,39.72,1300.99,-1204.90,-25.27, 36.01,-42.80,-0.82, 8.18,6.04e+02,4.24e+02
2013,12,16,09,15,58.47,1281.34,-1226.14,-12.98, 36.13,-43.74,-0.42, 8.12,9.03e+02,5.19e+02
2013,12,16,09,15,59.72,1280.01,-1227.54,-12.16, 36.14,-43.80,-0.39, 8.12,2.98e+02,2.98e+02
2013,12,16,09,16,18.47,1259.94,-1248.38,  0.14, 36.26,-44.74, 0.00, 8.05,2.11e+03,7.94e+02
2013,12,16,09,16,19.72,1258.58,-1249.75,  0.95, 36.27,-44.80, 0.03, 8.05,9.03e+02,5.19e+02
2013,12,16,09,16,38.47,1238.09,-1270.18, 13.25, 36.40,-45.73, 0.43, 7.99,1.21e+03,6.01e+02
2013,12,16,09,16,39.72,1236.71,-1271.52, 14.07, 36.41,-45.80, 0.45, 7.98,2.11e+03,7.95e+02
2013,12,16,09,16,58.46,1215.81,-1291.51, 26.35, 36.55,-46.73, 0.85, 7.92,2.72e+03,9.02e+02
2013,12,16,09,16,59.71,1214.41,-1292.83, 27.17, 36.56,-46.79, 0.88, 7.92,2.11e+03,7.95e+02
2013,12,16,09,17,18.46,1193.10,-1312.41, 39.45, 36.70,-47.73, 1.27, 7.86,2.12e+03,7.96e+02
2013,12,16,09,17,19.71,1191.66,-1313.70, 40.27, 36.71,-47.79, 1.30, 7.85,1.21e+03,6.02e+02
2013,12,16,09,17,38.46,1169.96,-1332.83, 52.54, 36.87,-48.72, 1.70, 7.79,1.51e+03,6.73e+02
2013,12,16,09,17,39.71,1168.50,-1334.09, 53.36, 36.88,-48.79, 1.72, 7.79,6.06e+02,4.26e+02
2013,12,16,09,17,58.46,1146.41,-1352.79, 65.61, 37.03,-49.72, 2.12, 7.73,2.73e+03,9.03e+02
2013,12,16,09,17,59.71,1144.93,-1354.02, 66.42, 37.04,-49.78, 2.15, 7.72,1.51e+03,6.73e+02
2013,12,16,09,18,18.46,1122.46,-1372.27, 78.65, 37.21,-50.72, 2.54, 7.66,4.25e+03,1.13e+03
2013,12,16,09,18,19.71,1120.95,-1373.47, 79.46, 37.22,-50.78, 2.57, 7.66,3.03e+03,9.53e+02
2013,12,16,09,18,38.46,1098.11,-1391.27, 91.67, 37.39,-51.72, 2.96, 7.59,1.82e+03,7.39e+02
2013,12,16,09,18,39.71,1096.58,-1392.44, 92.48, 37.40,-51.78, 2.99, 7.59,4.55e+03,1.17e+03
2013,12,16,09,18,58.45,1073.39,-1409.76,104.65, 37.58,-52.71, 3.38, 7.53,1.82e+03,7.39e+02
2013,12,16,09,18,59.70,1071.83,-1410.90,105.46, 37.59,-52.78, 3.41, 7.52,3.34e+03,1.00e+03
2013,12,16,09,19,18.45,1048.28,-1427.77,117.60, 37.77,-53.71, 3.80, 7.46,1.82e+03,7.40e+02
2013,12,16,09,19,19.70,1046.69,-1428.88,118.40, 37.79,-53.78, 3.82, 7.46,1.22e+03,6.04e+02
2013,12,16,09,19,38.45,1022.79,-1445.28,130.50, 37.98,-54.71, 4.22, 7.40,2.43e+03,8.55e+02
2013,12,16,09,19,39.70,1021.19,-1446.35,131.31, 37.99,-54.78, 4.24, 7.39,2.73e+03,9.06e+02
2013,12,16,09,19,58.45,996.95,-1462.27,143.36, 38.19,-55.71, 4.63, 7.33,3.34e+03,1.00e+03
2013,12,16,09,19,59.70,995.32,-1463.32,144.17, 38.20,-55.78, 4.66, 7.33,1.83e+03,7.40e+02
2013,12,16,09,20,18.45,970.76,-1478.75,156.18, 38.40,-56.72, 5.05, 7.26,3.65e+03,1.05e+03
2013,12,16,09,20,19.70,969.11,-1479.77,156.97, 38.42,-56.78, 5.07, 7.26,2.74e+03,9.07e+02
2013,12,16,09,20,38.45,944.22,-1494.71,168.93, 38.62,-57.72, 5.46, 7.20,3.65e+03,1.05e+03
2013,12,16,09,20,39.70,942.55,-1495.69,169.73, 38.64,-57.78, 5.48, 7.19,2.13e+03,8.00e+02
2013,12,16,09,20,58.44,917.37,-1510.14,181.62, 38.85,-58.72, 5.87, 7.13,1.83e+03,7.42e+02
2013,12,16,09,20,59.69,915.68,-1511.09,182.42, 38.87,-58.79, 5.89, 7.13,1.22e+03,6.05e+02
2013,12,16,09,21,18.44,890.17,-1525.04,194.26, 39.09,-59.73, 6.28, 7.07,3.66e+03,1.05e+03
2013,12,16,09,21,19.69,888.46,-1525.96,195.05, 39.10,-59.79, 6.30, 7.06,1.83e+03,7.42e+02
2013,12,16,09,21,38.43,862.68,-1539.40,206.82, 39.33,-60.73, 6.68, 7.00,3.66e+03,1.05e+03
2013,12,16,09,21,39.68,860.96,-1540.28,207.60, 39.34,-60.80, 6.71, 7.00,2.74e+03,9.09e+02
2013,12,16,09,21,58.43,834.88,-1553.23,219.31, 39.57,-61.74, 7.09, 6.93,4.57e+03,1.17e+03
2013,12,16,09,21,59.68,833.13,-1554.07,220.09, 39.59,-61.80, 7.11, 6.93,1.52e+03,6.77e+02
2013,12,16,09,22,18.43,806.78,-1566.51,231.73, 39.83,-62.75, 7.49, 6.87,5.80e+03,1.32e+03
2013,12,16,09,22,19.68,805.01,-1567.32,232.50, 39.84,-62.81, 7.52, 6.86,3.05e+03,9.59e+02
2013,12,16,09,22,38.43,778.40,-1579.24,244.06, 40.09,-63.76, 7.89, 6.80,3.97e+03,1.09e+03
2013,12,16,09,22,39.68,776.61,-1580.01,244.83, 40.10,-63.82, 7.92, 6.80,3.05e+03,9.60e+02
2013,12,16,09,22,58.43,749.74,-1591.41,256.31, 40.35,-64.77, 8.29, 6.73,3.67e+03,1.05e+03
2013,12,16,09,22,59.68,747.94,-1592.15,257.08, 40.37,-64.84, 8.31, 6.73,2.13e+03,8.03e+02
2013,12,16,09,23,18.43,720.82,-1603.03,268.47, 40.62,-65.79, 8.68, 6.67,3.97e+03,1.09e+03
2013,12,16,09,23,19.68,719.01,-1603.73,269.23, 40.64,-65.85, 8.71, 6.66,3.67e+03,1.05e+03
2013,12,16,09,23,38.42,691.67,-1614.07,280.54, 40.90,-66.80, 9.08, 6.60,6.73e+03,1.43e+03
2013,12,16,09,23,39.67,689.84,-1614.75,281.29, 40.91,-66.87, 9.10, 6.60,6.12e+03,1.36e+03
2013,12,16,09,23,58.42,662.26,-1624.56,292.51, 41.18,-67.82, 9.47, 6.53,6.42e+03,1.39e+03
2013,12,16,09,23,59.67,660.41,-1625.20,293.25, 41.20,-67.89, 9.49, 6.53,3.67e+03,1.05e+03
