Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ne Abundance (/cc),STD (/cc)
2014,04,02,20,59,46.87,-1320.54,1199.29,-274.25, 67.41,137.75,-8.74,11.42,0.00e+00,   NaN
2014,04,02,20,59,48.12,-1319.29,1200.76,-273.52, 67.36,137.69,-8.72,11.41,0.00e+00,   NaN
2014,04,02,20,59,49.37,-1318.04,1202.23,-272.78, 67.31,137.63,-8.69,11.41,0.00e+00,   NaN
2014,04,02,21,00,8.12,-1299.06,1224.01,-261.70, 66.56,136.70,-8.34,11.35,0.00e+00,   NaN
2014,04,02,21,00,44.12,-1261.55,1264.83,-240.21, 65.10,134.93,-7.66,11.23,0.00e+00,   NaN
2014,04,02,21,00,45.37,-1260.22,1266.22,-239.46, 65.05,134.86,-7.63,11.22,0.00e+00,   NaN
2014,04,02,21,00,46.62,-1258.89,1267.61,-238.71, 65.00,134.80,-7.61,11.22,0.00e+00,   NaN
2014,04,02,21,01,5.37,-1238.76,1288.27,-227.41, 64.24,133.88,-7.25,11.16,2.07e+02,4.17e+02
2014,04,02,21,01,41.36,-1199.09,1326.86,-205.52, 62.77,132.10,-6.56,11.04,0.00e+00,3.89e+02
2014,04,02,21,01,42.61,-1197.69,1328.17,-204.76, 62.72,132.04,-6.53,11.04,2.88e+02,4.22e+02
2014,04,02,21,01,43.86,-1196.28,1329.49,-203.99, 62.67,131.98,-6.51,11.03,0.00e+00,3.89e+02
2014,04,02,21,02,2.61,-1175.05,1348.96,-192.50, 61.90,131.06,-6.14,10.97,0.00e+00,3.90e+02
2014,04,02,21,02,38.60,-1133.30,1385.21,-170.27, 60.43,129.29,-5.43,10.85,2.01e+02,4.03e+02
2014,04,02,21,02,39.85,-1131.83,1386.45,-169.49, 60.38,129.23,-5.41,10.85,7.96e+01,3.93e+02
2014,04,02,21,02,41.10,-1130.36,1387.68,-168.72, 60.33,129.17,-5.39,10.84,0.00e+00,3.68e+02
2014,04,02,21,02,59.85,-1108.07,1405.91,-157.05, 59.56,128.24,-5.01,10.78,0.00e+00,3.72e+02
2014,04,02,21,03,35.85,-1064.36,1439.73,-134.53, 58.09,126.47,-4.30,10.67,5.10e+02,4.38e+02
2014,04,02,21,03,37.10,-1062.82,1440.87,-133.75, 58.03,126.41,-4.27,10.66,0.00e+00,3.91e+02
2014,04,02,21,03,38.35,-1061.28,1442.02,-132.96, 57.98,126.35,-4.25,10.66,4.49e+02,4.34e+02
2014,04,02,21,03,57.10,-1038.00,1458.95,-121.17, 57.22,125.43,-3.87,10.60,0.00e+00,3.88e+02
2014,04,02,21,04,33.09,-992.46,1490.21,-98.43, 55.75,123.66,-3.15,10.48,0.00e+00,4.12e+02
2014,04,02,21,04,34.34,-990.85,1491.27,-97.64, 55.70,123.60,-3.12,10.47,0.00e+00,4.08e+02
2014,04,02,21,04,35.59,-989.25,1492.32,-96.85, 55.65,123.54,-3.10,10.47,0.00e+00,4.13e+02
2014,04,02,21,04,54.34,-965.04,1507.90,-84.96, 54.88,122.62,-2.72,10.41,0.00e+00,4.20e+02
2014,04,02,21,05,30.34,-917.76,1536.52,-62.05, 53.42,120.85,-1.99,10.29,1.75e+02,4.40e+02
2014,04,02,21,05,31.59,-916.10,1537.49,-61.26, 53.37,120.79,-1.96,10.29,5.56e+02,4.66e+02
2014,04,02,21,05,32.84,-914.44,1538.45,-60.46, 53.32,120.73,-1.93,10.28,4.32e+02,4.57e+02
2014,04,02,21,05,51.59,-889.37,1552.62,-48.50, 52.56,119.80,-1.55,10.22,0.00e+00,4.38e+02
2014,04,02,21,06,27.58,-840.50,1578.51,-25.51, 51.11,118.03,-0.82,10.10,4.64e+02,4.57e+02
2014,04,02,21,06,28.83,-838.78,1579.38,-24.71, 51.06,117.97,-0.79,10.10,7.18e+02,4.75e+02
2014,04,02,21,06,30.08,-837.07,1580.24,-23.91, 51.01,117.91,-0.77,10.10,1.90e+01,4.26e+02
2014,04,02,21,06,48.83,-811.20,1592.97,-11.92, 50.26,116.99,-0.38,10.04,1.09e+02,4.56e+02
2014,04,02,21,07,24.83,-760.85,1616.04, 11.12, 48.83,115.21, 0.36, 9.92,0.00e+00,4.03e+02
2014,04,02,21,07,26.08,-759.09,1616.81, 11.92, 48.78,115.15, 0.38, 9.91,5.38e+02,4.89e+02
2014,04,02,21,07,27.33,-757.32,1617.58, 12.72, 48.73,115.09, 0.41, 9.91,0.00e+00,4.03e+02
2014,04,02,21,07,46.08,-730.73,1628.82, 24.71, 47.99,114.16, 0.79, 9.85,5.87e+02,4.86e+02
2014,04,02,21,08,22.07,-679.07,1648.99, 47.70, 46.58,112.38, 1.53, 9.73,0.00e+00,4.00e+02
