Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,01,21,09,17,56.42,-1056.95,1340.62,628.96, 81.94,128.25,20.23, 0.76,1.20e+04,1.85e+03
2014,01,21,09,17,57.67,-1055.47,1342.00,628.60, 81.98,128.18,20.21, 0.76,1.06e+04,1.73e+03
2014,01,21,09,18,16.42,-1033.14,1362.49,623.01, 82.46,127.17,20.02, 0.69,1.12e+04,1.78e+03
2014,01,21,09,18,17.67,-1031.64,1363.84,622.63, 82.49,127.10,20.01, 0.69,1.52e+04,2.08e+03
2014,01,21,09,18,36.42,-1008.99,1383.91,616.85, 82.98,126.10,19.81, 0.62,1.03e+04,1.71e+03
2014,01,21,09,18,37.67,-1007.47,1385.24,616.46, 83.01,126.03,19.79, 0.62,1.29e+04,1.91e+03
2014,01,21,09,18,56.41,-984.52,1404.87,610.49, 83.49,125.02,19.59, 0.55,8.90e+03,1.59e+03
2014,01,21,09,18,57.66,-982.98,1406.17,610.09, 83.52,124.96,19.58, 0.54,1.18e+04,1.83e+03
2014,01,21,09,19,16.41,-959.72,1425.38,603.94, 84.00,123.95,19.36, 0.48,1.15e+04,1.81e+03
2014,01,21,09,19,17.66,-958.15,1426.65,603.52, 84.03,123.89,19.35, 0.47,1.06e+04,1.74e+03
2014,01,21,09,19,36.41,-934.60,1445.43,597.19, 84.51,122.89,19.13, 0.40,1.26e+04,1.90e+03
2014,01,21,09,19,37.66,-933.02,1446.66,596.76, 84.54,122.82,19.12, 0.40,1.21e+04,1.85e+03
2014,01,21,09,19,56.41,-909.18,1465.00,590.24, 85.02,121.82,18.90, 0.33,1.06e+04,1.74e+03
2014,01,21,09,19,57.66,-907.58,1466.21,589.80, 85.05,121.76,18.88, 0.33,1.15e+04,1.81e+03
2014,01,21,09,20,16.41,-883.46,1484.10,583.10, 85.52,120.76,18.66, 0.26,1.27e+04,1.90e+03
2014,01,21,09,20,17.66,-881.84,1485.27,582.65, 85.55,120.70,18.64, 0.26,1.24e+04,1.88e+03
2014,01,21,09,20,36.41,-857.45,1502.71,575.77, 86.02,119.71,18.41, 0.19,1.10e+04,1.77e+03
