Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,01,07,22,08,6.28, -0.20,1745.94,-494.30, 77.17,90.01,-15.81,11.31,8.87e+02,5.10e+02
2014,01,07,22,08,7.53,  1.77,1746.07,-493.73, 77.13,89.94,-15.79,11.30,5.94e+02,4.17e+02
2014,01,07,22,08,26.28, 31.37,1747.69,-485.15, 76.65,88.97,-15.51,11.24,2.08e+03,7.80e+02
2014,01,07,22,08,27.53, 33.34,1747.78,-484.58, 76.62,88.91,-15.49,11.23,1.48e+03,6.59e+02
2014,01,07,22,08,46.28, 62.93,1748.85,-475.85, 76.13,87.94,-15.21,11.17,2.08e+03,7.81e+02
2014,01,07,22,08,47.53, 64.90,1748.91,-475.27, 76.10,87.87,-15.19,11.16,5.94e+02,4.18e+02
2014,01,07,22,09,6.27, 94.46,1749.44,-466.40, 75.61,86.91,-14.91,11.10,5.35e+03,1.25e+03
2014,01,07,22,09,7.52, 96.43,1749.46,-465.81, 75.58,86.85,-14.89,11.09,2.38e+03,8.35e+02
2014,01,07,22,09,26.27,125.97,1749.45,-456.79, 75.09,85.88,-14.60,11.03,5.95e+02,4.18e+02
2014,01,07,22,09,27.52,127.94,1749.43,-456.19, 75.05,85.82,-14.58,11.03,1.48e+03,6.60e+02
2014,01,07,22,09,46.27,157.44,1748.88,-447.03, 74.56,84.86,-14.28,10.96,2.67e+03,8.86e+02
2014,01,07,22,09,47.52,159.40,1748.82,-446.42, 74.53,84.79,-14.26,10.96,1.48e+03,6.60e+02
2014,01,07,22,10,6.27,188.85,1747.73,-437.12, 74.04,83.83,-13.96,10.89,1.48e+03,6.60e+02
2014,01,07,22,10,7.52,190.81,1747.64,-436.50, 74.00,83.77,-13.94,10.89,1.48e+03,6.60e+02
2014,01,07,22,10,26.27,220.21,1746.00,-427.07, 73.51,82.81,-13.64,10.83,1.19e+03,5.92e+02
2014,01,07,22,10,27.52,222.17,1745.87,-426.44, 73.48,82.75,-13.62,10.82,1.19e+03,5.92e+02
2014,01,07,22,10,46.27,251.49,1743.69,-416.88, 72.98,81.79,-13.31,10.76,2.08e+03,7.82e+02
2014,01,07,22,10,47.52,253.44,1743.52,-416.23, 72.95,81.73,-13.29,10.75,1.79e+03,7.25e+02
2014,01,07,22,11,6.26,282.67,1740.80,-406.55, 72.45,80.78,-12.98,10.69,1.49e+03,6.61e+02
2014,01,07,22,11,7.51,284.62,1740.60,-405.90, 72.42,80.71,-12.96,10.69,1.19e+03,5.92e+02
2014,01,07,22,11,26.26,313.78,1737.33,-396.08, 71.92,79.76,-12.65,10.62,2.38e+03,8.38e+02
2014,01,07,22,11,27.51,315.72,1737.09,-395.42, 71.89,79.70,-12.62,10.62,8.90e+02,5.12e+02
2014,01,07,22,11,46.26,344.78,1733.28,-385.49, 71.39,78.75,-12.31,10.55,1.79e+03,7.26e+02
