Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ar Abundance (/cc),STD (/cc)
2014,01,25,17,18,0.52,503.78,1627.81,591.79, 66.42,72.80,19.15, 0.58,0.00e+00,6.07e+00
2014,01,25,17,18,1.77,505.78,1627.39,591.41, 66.48,72.74,19.14, 0.57,1.72e+01,1.58e+01
2014,01,25,17,18,20.52,535.61,1620.97,585.51, 67.39,71.72,18.93, 0.50,0.00e+00,6.08e+00
2014,01,25,17,18,21.77,537.59,1620.53,585.12, 67.45,71.65,18.92, 0.50,0.00e+00,6.08e+00
2014,01,25,17,18,40.51,567.23,1613.60,579.04, 68.36,70.63,18.70, 0.43,0.00e+00,6.10e+00
2014,01,25,17,18,41.76,569.21,1613.12,578.63, 68.42,70.56,18.69, 0.43,0.00e+00,6.10e+00
2014,01,25,17,19,0.51,598.69,1605.69,572.38, 69.33,69.55,18.47, 0.36,0.00e+00,6.12e+00
2014,01,25,17,19,1.76,600.65,1605.18,571.95, 69.39,69.48,18.45, 0.36,6.63e+00,1.20e+01
2014,01,25,17,19,20.51,629.94,1597.24,565.52, 70.31,68.48,18.23, 0.29,6.62e+00,1.20e+01
2014,01,25,17,19,21.76,631.89,1596.69,565.08, 70.37,68.41,18.22, 0.28,2.74e+01,1.89e+01
2014,01,25,17,19,40.51,660.99,1588.25,558.47, 71.28,67.40,17.99, 0.22,0.00e+00,6.15e+00
2014,01,25,17,19,41.76,662.92,1587.67,558.03, 71.34,67.34,17.97, 0.21,0.00e+00,6.15e+00
2014,01,25,17,20,0.51,691.81,1578.73,551.24, 72.26,66.34,17.73, 0.14,0.00e+00,6.17e+00
2014,01,25,17,20,1.76,693.73,1578.12,550.79, 72.32,66.27,17.72, 0.14,1.71e+01,1.59e+01
2014,01,25,17,20,20.51,722.41,1568.69,543.83, 73.24,65.27,17.48, 0.07,0.00e+00,6.19e+00
2014,01,25,17,20,21.76,724.31,1568.05,543.36, 73.30,65.21,17.46, 0.07,0.00e+00,6.20e+00
2014,01,25,17,20,40.50,752.75,1558.13,536.24, 74.22,64.21,17.22, 0.00,0.00e+00,6.22e+00
2014,01,25,17,20,41.75,754.64,1557.46,535.76, 74.28,64.15,17.20,24.00,0.00e+00,6.22e+00
2014,01,25,17,21,0.50,782.86,1547.05,528.47, 75.20,63.16,16.95,23.93,0.00e+00,6.24e+00
2014,01,25,17,21,1.75,784.73,1546.34,527.98, 75.26,63.09,16.93,23.93,0.00e+00,6.24e+00
2014,01,25,17,21,20.50,812.70,1535.46,520.53, 76.18,62.11,16.68,23.86,0.00e+00,6.26e+00
2014,01,25,17,21,21.75,814.56,1534.72,520.03, 76.24,62.04,16.66,23.86,0.00e+00,6.27e+00
2014,01,25,17,21,40.50,842.28,1523.36,512.42, 77.16,61.06,16.40,23.79,0.00e+00,6.29e+00
2014,01,25,17,21,41.75,844.12,1522.58,511.90, 77.22,61.00,16.39,23.79,0.00e+00,6.29e+00
2014,01,25,17,22,0.50,871.59,1510.75,504.13, 78.14,60.02,16.12,23.72,0.00e+00,6.32e+00
2014,01,25,17,22,1.75,873.41,1509.94,503.61, 78.20,59.95,16.10,23.72,0.00e+00,6.32e+00
2014,01,25,17,22,20.50,900.60,1497.64,495.68, 79.11,58.98,15.84,23.65,6.47e+00,1.21e+01
2014,01,25,17,22,21.75,902.40,1496.81,495.15, 79.17,58.91,15.82,23.65,0.00e+00,6.35e+00
2014,01,25,17,22,40.49,929.30,1484.05,487.08, 80.09,57.95,15.55,23.58,0.00e+00,6.37e+00
2014,01,25,17,22,41.74,931.09,1483.18,486.53, 80.15,57.88,15.53,23.58,1.71e+01,1.61e+01
2014,01,25,17,23,0.49,957.72,1469.96,478.31, 81.06,56.91,15.25,23.51,6.43e+00,1.22e+01
2014,01,25,17,23,1.74,959.48,1469.07,477.76, 81.12,56.85,15.23,23.51,1.71e+01,1.61e+01
2014,01,25,17,23,20.49,985.82,1455.39,469.38, 82.03,55.89,14.95,23.44,0.00e+00,6.43e+00
2014,01,25,17,23,21.74,987.56,1454.47,468.82, 82.09,55.82,14.93,23.44,6.41e+00,1.22e+01
2014,01,25,17,23,40.49,1013.59,1440.35,460.30, 83.00,54.87,14.65,23.38,0.00e+00,6.46e+00
2014,01,25,17,23,41.74,1015.32,1439.39,459.73, 83.06,54.80,14.63,23.37,0.00e+00,6.47e+00
2014,01,25,17,24,0.49,1041.03,1424.83,451.08, 83.96,53.85,14.34,23.31,0.00e+00,6.50e+00
2014,01,25,17,24,1.74,1042.74,1423.84,450.50, 84.02,53.78,14.32,23.30,1.70e+01,1.62e+01
2014,01,25,17,24,20.49,1068.14,1408.84,441.70, 84.92,52.83,14.03,23.24,0.00e+00,6.53e+00
2014,01,25,17,24,21.74,1069.82,1407.83,441.11, 84.98,52.77,14.01,23.24,0.00e+00,6.53e+00
2014,01,25,17,24,40.48,1094.88,1392.41,432.19, 85.88,51.82,13.71,23.17,6.31e+00,1.23e+01
2014,01,25,17,24,41.73,1096.54,1391.36,431.59, 85.94,51.76,13.69,23.17,1.70e+01,1.62e+01
2014,01,25,17,25,0.48,1121.28,1375.51,422.53, 86.83,50.81,13.39,23.10,0.00e+00,6.60e+00
2014,01,25,17,25,1.73,1122.92,1374.44,421.93, 86.89,50.75,13.37,23.10,6.28e+00,1.24e+01
2014,01,25,17,25,20.48,1147.32,1358.17,412.74, 87.79,49.81,13.07,23.04,0.00e+00,6.63e+00
2014,01,25,17,25,21.73,1148.93,1357.07,412.12, 87.85,49.75,13.05,23.03,0.00e+00,6.64e+00
2014,01,25,17,25,40.47,1172.97,1340.39,402.82, 88.73,48.81,12.74,22.97,0.00e+00,6.67e+00
2014,01,25,17,25,41.72,1174.56,1339.26,402.19, 88.79,48.75,12.72,22.97,0.00e+00,6.67e+00
2014,01,25,17,26,0.47,1198.25,1322.17,392.76, 89.68,47.81,12.41,22.90,0.00e+00,6.71e+00
2014,01,25,17,26,1.72,1199.82,1321.02,392.13, 89.73,47.75,12.39,22.90,0.00e+00,6.71e+00
2014,01,25,17,26,20.47,1223.15,1303.52,382.58, 90.61,46.82,12.08,22.84,6.16e+00,1.25e+01
2014,01,25,17,26,21.72,1224.69,1302.35,381.94, 90.67,46.76,12.06,22.83,0.00e+00,6.75e+00
2014,01,25,17,26,40.47,1247.65,1284.46,372.28, 91.55,45.83,11.74,22.77,0.00e+00,6.79e+00
2014,01,25,17,26,41.72,1249.17,1283.25,371.63, 91.61,45.77,11.72,22.77,0.00e+00,6.79e+00
2014,01,25,17,27,0.47,1271.75,1264.98,361.85, 92.48,44.85,11.41,22.71,6.10e+00,1.26e+01
2014,01,25,17,27,1.72,1273.24,1263.74,361.20, 92.54,44.79,11.38,22.70,6.10e+00,1.26e+01
2014,01,25,17,27,20.47,1295.44,1245.09,351.31, 93.40,43.86,11.06,22.64,0.00e+00,6.88e+00
2014,01,25,17,27,21.72,1296.91,1243.83,350.65, 93.46,43.80,11.04,22.64,0.00e+00,6.88e+00
2014,01,25,17,27,40.46,1318.71,1224.81,340.67, 94.32,42.89,10.72,22.58,6.03e+00,1.26e+01
