Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,01,05,08,48,40.49,-885.18,1524.84,-495.55, 94.06,120.14,-15.70,11.24,1.50e+03,6.67e+02
2014,01,05,08,48,41.74,-883.55,1525.92,-494.98, 94.02,120.07,-15.68,11.24,2.10e+03,7.89e+02
2014,01,05,08,48,42.99,-881.91,1527.01,-494.42, 93.98,120.01,-15.66,11.23,1.20e+03,5.97e+02
2014,01,05,08,49,21.99,-830.42,1559.76,-476.49, 92.77,118.03,-15.09,11.10,1.80e+03,7.31e+02
2014,01,05,08,49,37.73,-809.35,1572.45,-469.09, 92.27,117.24,-14.86,11.05,2.10e+03,7.89e+02
2014,01,05,08,49,38.98,-807.67,1573.44,-468.50, 92.23,117.17,-14.84,11.04,8.98e+02,5.16e+02
2014,01,05,08,49,40.23,-805.99,1574.43,-467.91, 92.19,117.11,-14.82,11.04,1.20e+03,5.97e+02
2014,01,05,08,50,19.23,-753.02,1604.38,-449.14, 90.93,115.14,-14.22,10.91,6.01e+02,4.22e+02
2014,01,05,08,50,34.97,-731.38,1615.91,-441.41, 90.42,114.35,-13.97,10.85,1.20e+03,5.98e+02
2014,01,05,08,50,36.22,-729.66,1616.81,-440.79, 90.38,114.29,-13.96,10.85,2.97e+02,2.97e+02
2014,01,05,08,50,37.47,-727.93,1617.71,-440.17, 90.33,114.23,-13.94,10.85,0.00e+00,0.00e+00
2014,01,05,08,51,16.47,-673.64,1644.75,-420.60, 89.04,112.27,-13.31,10.72,6.02e+02,4.23e+02
2014,01,05,08,51,32.22,-651.47,1655.10,-412.55, 88.51,111.49,-13.06,10.66,1.50e+03,6.68e+02
2014,01,05,08,51,33.47,-649.71,1655.90,-411.91, 88.47,111.42,-13.04,10.66,2.97e+02,2.97e+02
2014,01,05,08,51,34.72,-647.94,1656.71,-411.27, 88.43,111.36,-13.02,10.66,1.20e+03,5.98e+02
2014,01,05,08,52,13.72,-592.45,1680.76,-390.95, 87.10,109.42,-12.37,10.53,2.71e+03,8.98e+02
2014,01,05,08,52,29.46,-569.84,1689.89,-382.62, 86.56,108.63,-12.11,10.47,1.50e+03,6.69e+02
2014,01,05,08,52,30.71,-568.04,1690.60,-381.95, 86.52,108.57,-12.09,10.47,6.03e+02,4.24e+02
2014,01,05,08,52,31.96,-566.24,1691.30,-381.28, 86.47,108.51,-12.07,10.47,9.01e+02,5.18e+02
2014,01,05,08,53,10.96,-509.70,1712.30,-360.27, 85.11,106.58,-11.40,10.34,9.02e+02,5.18e+02
2014,01,05,08,53,26.71,-486.68,1720.18,-351.66, 84.56,105.80,-11.13,10.28,1.51e+03,6.70e+02
2014,01,05,08,53,27.96,-484.85,1720.79,-350.97, 84.52,105.74,-11.11,10.28,2.98e+02,2.98e+02
2014,01,05,08,53,29.21,-483.02,1721.40,-350.28, 84.47,105.67,-11.09,10.28,1.21e+03,6.00e+02
2014,01,05,08,54,8.21,-425.57,1739.28,-328.63, 83.09,103.75,-10.40,10.15,9.03e+02,5.19e+02
2014,01,05,08,54,23.95,-402.23,1745.88,-319.77, 82.53,102.97,-10.12,10.10,1.51e+03,6.71e+02
2014,01,05,08,54,25.20,-400.37,1746.39,-319.07, 82.48,102.91,-10.10,10.09,1.21e+03,6.01e+02
2014,01,05,08,54,26.45,-398.52,1746.90,-318.36, 82.44,102.85,-10.08,10.09,1.81e+03,7.36e+02
2014,01,05,08,55,5.45,-340.32,1761.59,-296.12, 81.03,100.93,-9.37, 9.96,1.82e+03,7.37e+02
