Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,02,24,17,27,50.26,634.00,1606.78,547.25, 74.55,68.47,17.58, 0.62,1.73e+04,2.26e+03
2014,02,24,17,27,51.51,635.94,1606.25,546.78, 74.62,68.40,17.56, 0.62,1.49e+04,2.09e+03
2014,02,24,17,27,52.76,637.87,1605.71,546.32, 74.68,68.33,17.55, 0.61,1.70e+04,2.24e+03
2014,02,24,17,28,31.75,697.89,1587.91,531.37, 76.68,66.27,17.03, 0.48,1.52e+04,2.12e+03
2014,02,24,17,28,47.51,721.88,1580.16,525.15, 77.48,65.45,16.82, 0.42,2.03e+04,2.45e+03
2014,02,24,17,28,48.76,723.78,1579.53,524.65, 77.55,65.38,16.80, 0.42,1.58e+04,2.16e+03
2014,02,24,17,28,50.01,725.68,1578.90,524.15, 77.61,65.32,16.79, 0.41,1.67e+04,2.22e+03
2014,02,24,17,29,29.00,784.39,1558.18,508.24, 79.60,63.28,16.24, 0.28,1.20e+04,1.88e+03
2014,02,24,17,29,44.74,807.81,1549.27,501.64, 80.41,62.46,16.02, 0.22,1.29e+04,1.95e+03
2014,02,24,17,29,45.99,809.66,1548.55,501.11, 80.47,62.40,16.00, 0.22,1.29e+04,1.95e+03
2014,02,24,17,29,47.24,811.51,1547.82,500.58, 80.54,62.33,15.98, 0.21,1.20e+04,1.88e+03
2014,02,24,17,30,26.25,868.76,1524.26,483.75, 82.52,60.32,15.41, 0.08,1.26e+04,1.93e+03
2014,02,24,17,30,41.99,891.58,1514.20,476.78, 83.32,59.51,15.18, 0.02,1.11e+04,1.82e+03
2014,02,24,17,30,43.24,893.38,1513.39,476.22, 83.38,59.45,15.16, 0.02,1.47e+04,2.09e+03
2014,02,24,17,30,44.49,895.18,1512.57,475.66, 83.45,59.38,15.14, 0.01,9.91e+03,1.71e+03
2014,02,24,17,31,23.50,950.82,1486.23,457.96, 85.42,57.39,14.55,23.88,1.65e+04,2.22e+03
2014,02,24,17,31,39.23,972.94,1475.07,450.66, 86.21,56.59,14.31,23.83,1.81e+04,2.32e+03
2014,02,24,17,31,40.48,974.69,1474.18,450.07, 86.27,56.53,14.29,23.82,1.26e+04,1.94e+03
