Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ar Abundance (/cc),STD (/cc)
2014,02,06,16,51,8.21,1690.17,229.12,503.90, 41.11, 7.72,16.46, 6.00,2.09e+03,1.47e+02
2014,02,06,16,51,9.46,1690.27,227.10,504.44, 41.09, 7.65,16.48, 5.99,1.93e+03,1.41e+02
2014,02,06,16,51,10.71,1690.36,225.07,504.98, 41.08, 7.58,16.50, 5.99,1.96e+03,1.42e+02
2014,02,06,16,51,23.20,1691.19,204.81,510.35, 40.95, 6.91,16.68, 5.94,1.66e+03,1.31e+02
2014,02,06,16,52,5.45,1692.25,136.13,527.99, 40.52, 4.60,17.28, 5.79,1.02e+03,1.03e+02
2014,02,06,16,52,6.70,1692.24,134.10,528.50, 40.51, 4.53,17.29, 5.78,1.10e+03,1.07e+02
2014,02,06,16,52,7.95,1692.23,132.06,529.01, 40.50, 4.46,17.31, 5.78,8.22e+02,9.23e+01
2014,02,06,16,52,20.45,1691.99,111.69,534.06, 40.38, 3.78,17.48, 5.74,9.46e+02,9.89e+01
2014,02,06,16,53,2.69,1689.46, 42.75,550.58, 40.02, 1.45,18.04, 5.58,5.01e+02,7.24e+01
2014,02,06,16,53,3.94,1689.34, 40.71,551.05, 40.01, 1.38,18.06, 5.58,3.46e+02,6.05e+01
2014,02,06,16,53,5.18,1689.22, 38.67,551.53, 40.00, 1.31,18.08, 5.57,4.70e+02,7.02e+01
2014,02,06,16,53,17.68,1687.92, 18.25,556.24, 39.90, 0.62,18.24, 5.53,2.94e+02,5.60e+01
2014,02,06,16,53,59.94,1681.80,-50.76,571.59, 39.61,-1.73,18.76, 5.37,1.80e+02,4.44e+01
2014,02,06,16,54,1.19,1681.58,-52.80,572.03, 39.60,-1.80,18.78, 5.37,1.59e+02,4.20e+01
2014,02,06,16,54,2.44,1681.36,-54.84,572.47, 39.59,-1.87,18.79, 5.36,1.80e+02,4.44e+01
2014,02,06,16,54,14.94,1678.99,-75.25,576.82, 39.51,-2.57,18.94, 5.32,1.07e+02,3.51e+01
2014,02,06,16,54,57.17,1669.31,-144.11,590.96, 39.28,-4.93,19.43, 5.16,7.64e+01,3.03e+01
2014,02,06,16,54,58.42,1668.98,-146.15,591.36, 39.27,-5.00,19.44, 5.15,3.49e+01,2.22e+01
2014,02,06,16,54,59.67,1668.65,-148.18,591.77, 39.27,-5.07,19.46, 5.15,8.66e+01,3.20e+01
2014,02,06,16,55,12.18,1665.24,-168.52,595.76, 39.21,-5.78,19.59, 5.10,2.43e+01,1.97e+01
2014,02,06,16,55,54.42,1652.00,-237.06,608.64, 39.04,-8.17,20.04, 4.94,4.50e+01,2.46e+01
2014,02,06,16,55,55.67,1651.57,-239.08,609.01, 39.04,-8.24,20.05, 4.94,2.42e+01,1.97e+01
2014,02,06,16,55,56.92,1651.14,-241.11,609.37, 39.03,-8.31,20.06, 4.94,3.39e+00,1.33e+01
2014,02,06,16,56,9.43,1646.68,-261.31,612.98, 38.99,-9.02,20.19, 4.89,3.47e+01,2.23e+01
2014,02,06,16,56,51.66,1629.93,-329.31,624.57, 38.89,-11.42,20.59, 4.73,3.22e+00,1.34e+01
2014,02,06,16,56,52.91,1629.40,-331.32,624.90, 38.89,-11.49,20.60, 4.72,1.38e+01,1.69e+01
2014,02,06,16,56,54.16,1628.86,-333.32,625.23, 38.89,-11.56,20.61, 4.72,0.00e+00,8.53e+00
2014,02,06,16,57,6.67,1623.37,-353.34,628.45, 38.87,-12.28,20.72, 4.67,1.37e+01,1.70e+01
2014,02,06,16,57,48.91,1603.17,-420.63,638.72, 38.84,-14.70,21.07, 4.51,0.00e+00,8.63e+00
2014,02,06,16,57,50.16,1602.53,-422.61,639.00, 38.84,-14.77,21.08, 4.51,3.08e+00,1.34e+01
2014,02,06,16,57,51.41,1601.89,-424.59,639.29, 38.84,-14.85,21.09, 4.50,1.36e+01,1.70e+01
2014,02,06,16,58,3.92,1595.38,-444.36,642.12, 38.84,-15.56,21.19, 4.45,2.39e+01,1.99e+01
2014,02,06,16,58,46.16,1571.78,-510.71,651.03, 38.87,-18.00,21.50, 4.29,7.64e+01,3.07e+01
2014,02,06,16,58,47.41,1571.04,-512.66,651.27, 38.87,-18.07,21.51, 4.29,3.45e+01,2.25e+01
2014,02,06,16,58,48.66,1570.30,-514.61,651.52, 38.88,-18.14,21.52, 4.28,5.54e+01,2.69e+01
2014,02,06,16,59,1.16,1562.80,-534.09,653.94, 38.90,-18.87,21.60, 4.23,5.54e+01,2.69e+01
2014,02,06,16,59,43.40,1535.86,-599.32,661.47, 39.00,-21.32,21.86, 4.07,5.55e+01,2.70e+01
2014,02,06,16,59,44.65,1535.02,-601.24,661.68, 39.00,-21.39,21.87, 4.07,4.49e+01,2.49e+01
2014,02,06,16,59,45.90,1534.19,-603.16,661.88, 39.00,-21.46,21.88, 4.06,5.55e+01,2.70e+01
2014,02,06,16,59,58.40,1525.71,-622.27,663.89, 39.04,-22.19,21.95, 4.01,1.35e+01,1.72e+01
2014,02,06,17,00,40.65,1495.50,-686.22,670.02, 39.21,-24.65,22.16, 3.85,4.50e+01,2.49e+01
2014,02,06,17,00,41.90,1494.57,-688.10,670.18, 39.21,-24.72,22.16, 3.84,6.60e+01,2.90e+01
2014,02,06,17,00,43.15,1493.64,-689.97,670.35, 39.22,-24.79,22.17, 3.84,1.35e+01,1.72e+01
2014,02,06,17,00,55.65,1484.21,-708.67,671.94, 39.28,-25.52,22.22, 3.79,1.35e+01,1.72e+01
2014,02,06,17,01,37.88,1450.83,-771.12,676.65, 39.51,-27.99,22.38, 3.62,1.40e+02,4.02e+01
2014,02,06,17,01,39.13,1449.81,-772.95,676.77, 39.51,-28.06,22.39, 3.62,2.40e+01,2.02e+01
2014,02,06,17,01,40.38,1448.79,-774.78,676.89, 39.52,-28.14,22.39, 3.62,2.40e+01,2.02e+01
2014,02,06,17,01,52.88,1438.43,-793.01,678.06, 39.60,-28.87,22.43, 3.57,4.51e+01,2.50e+01
2014,02,06,17,02,35.13,1401.98,-853.81,681.34, 39.89,-31.34,22.54, 3.40,0.00e+00,8.84e+00
2014,02,06,17,02,36.38,1400.87,-855.59,681.42, 39.90,-31.41,22.54, 3.40,2.95e+00,1.37e+01
2014,02,06,17,02,37.63,1399.76,-857.37,681.50, 39.91,-31.49,22.55, 3.39,4.52e+01,2.51e+01
2014,02,06,17,02,50.13,1388.51,-875.08,682.24, 40.01,-32.22,22.57, 3.34,3.48e+01,2.28e+01
2014,02,06,17,03,32.38,1349.10,-934.03,684.08, 40.37,-34.70,22.63, 3.18,7.73e+01,3.10e+01
2014,02,06,17,03,33.63,1347.90,-935.75,684.12, 40.38,-34.77,22.63, 3.17,1.30e+02,3.89e+01
2014,02,06,17,03,34.88,1346.70,-937.47,684.15, 40.39,-34.84,22.63, 3.17,1.09e+02,3.60e+01
2014,02,06,17,03,47.38,1334.60,-954.62,684.47, 40.50,-35.58,22.64, 3.12,5.62e+01,2.73e+01
2014,02,06,17,04,29.63,1292.33,-1011.57,684.86, 40.92,-38.05,22.65, 2.95,3.51e+01,2.28e+01
2014,02,06,17,04,30.88,1291.05,-1013.23,684.86, 40.94,-38.13,22.65, 2.95,8.81e+01,3.28e+01
2014,02,06,17,04,32.13,1289.77,-1014.89,684.85, 40.95,-38.20,22.65, 2.94,8.81e+01,3.28e+01
2014,02,06,17,04,44.63,1276.84,-1031.42,684.74, 41.08,-38.93,22.64, 2.89,6.69e+01,2.92e+01
2014,02,06,17,05,26.86,1231.86,-1086.19,683.69, 41.57,-41.40,22.60, 2.73,3.30e+00,1.36e+01
2014,02,06,17,05,28.11,1230.50,-1087.79,683.64, 41.58,-41.48,22.60, 2.72,1.41e+01,1.73e+01
2014,02,06,17,05,29.36,1229.14,-1089.38,683.59, 41.60,-41.55,22.60, 2.72,6.71e+01,2.93e+01
2014,02,06,17,05,41.87,1215.42,-1105.24,683.06, 41.75,-42.28,22.58, 2.67,4.59e+01,2.52e+01
2014,02,06,17,06,24.11,1167.85,-1157.69,680.56, 42.29,-44.75,22.48, 2.50,6.75e+01,2.93e+01
2014,02,06,17,06,25.36,1166.41,-1159.22,680.47, 42.30,-44.82,22.48, 2.50,3.56e+01,2.29e+01
2014,02,06,17,06,26.61,1164.98,-1160.74,680.38, 42.32,-44.90,22.48, 2.49,6.75e+01,2.93e+01
2014,02,06,17,06,39.10,1150.51,-1175.89,679.42, 42.49,-45.62,22.44, 2.44,2.49e+01,2.02e+01
