Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ne Abundance (/cc),STD (/cc)
2014,02,19,07,51,24.54,-1398.79,-994.68,543.98, 63.13,-144.58,17.59, 6.06,0.00e+00,   NaN
2014,02,19,07,51,25.79,-1399.84,-992.96,544.50, 63.15,-144.65,17.60, 6.06,0.00e+00,   NaN
2014,02,19,07,51,27.04,-1400.88,-991.24,545.01, 63.17,-144.72,17.62, 6.06,0.00e+00,   NaN
2014,02,19,07,51,45.79,-1416.29,-965.27,552.67, 63.46,-145.72,17.87, 5.99,0.00e+00,   NaN
2014,02,19,07,52,21.78,-1444.70,-914.63,566.92, 64.02,-147.66,18.34, 5.86,0.00e+00,   NaN
2014,02,19,07,52,23.03,-1445.66,-912.85,567.40, 64.04,-147.73,18.36, 5.86,0.00e+00,   NaN
2014,02,19,07,52,24.28,-1446.62,-911.07,567.89, 64.06,-147.80,18.38, 5.85,0.00e+00,   NaN
2014,02,19,07,52,43.03,-1460.74,-884.25,575.04, 64.36,-148.81,18.61, 5.78,3.48e+03,5.08e+02
2014,02,19,07,53,19.02,-1486.62,-832.05,588.30, 64.94,-150.76,19.05, 5.66,2.44e+03,4.36e+02
2014,02,19,07,53,20.27,-1487.49,-830.22,588.75, 64.96,-150.83,19.07, 5.65,2.44e+03,4.36e+02
2014,02,19,07,53,21.52,-1488.36,-828.39,589.20, 64.98,-150.90,19.08, 5.65,1.51e+03,3.65e+02
2014,02,19,07,53,40.27,-1501.14,-800.79,595.83, 65.29,-151.92,19.30, 5.58,2.36e+03,4.34e+02
2014,02,19,07,54,16.27,-1524.44,-747.15,608.07, 65.90,-153.89,19.71, 5.45,2.54e+03,4.42e+02
2014,02,19,07,54,17.52,-1525.22,-745.28,608.49, 65.92,-153.96,19.72, 5.44,2.85e+03,4.63e+02
2014,02,19,07,54,18.77,-1525.99,-743.40,608.90, 65.94,-154.03,19.73, 5.44,1.80e+03,3.86e+02
2014,02,19,07,54,37.52,-1537.41,-715.11,614.99, 66.27,-155.06,19.94, 5.37,2.21e+03,4.13e+02
2014,02,19,07,55,13.51,-1558.04,-660.22,626.17, 66.89,-157.04,20.31, 5.24,1.80e+03,3.80e+02
2014,02,19,07,55,14.76,-1558.73,-658.30,626.55, 66.92,-157.10,20.32, 5.24,2.67e+03,4.46e+02
2014,02,19,07,55,16.01,-1559.41,-656.38,626.92, 66.94,-157.17,20.33, 5.23,2.67e+03,4.46e+02
2014,02,19,07,55,34.76,-1569.43,-627.47,632.46, 67.27,-158.21,20.52, 5.16,2.61e+03,4.42e+02
2014,02,19,07,56,10.76,-1587.37,-571.45,642.56, 67.92,-160.20,20.85, 5.03,1.75e+03,3.77e+02
2014,02,19,07,56,12.01,-1587.96,-569.49,642.90, 67.94,-160.27,20.86, 5.03,2.50e+03,4.35e+02
2014,02,19,07,56,13.26,-1588.55,-567.53,643.24, 67.96,-160.34,20.87, 5.02,2.19e+03,4.11e+02
2014,02,19,07,56,32.01,-1597.14,-538.08,648.20, 68.30,-161.38,21.04, 4.95,2.76e+03,4.53e+02
2014,02,19,07,57,8.00,-1612.32,-481.12,657.19, 68.96,-163.38,21.33, 4.82,1.16e+03,3.32e+02
2014,02,19,07,57,9.25,-1612.81,-479.14,657.49, 68.99,-163.45,21.34, 4.81,1.67e+03,3.77e+02
2014,02,19,07,57,10.50,-1613.31,-477.15,657.79, 69.01,-163.52,21.35, 4.81,1.86e+03,3.93e+02
2014,02,19,07,57,29.25,-1620.46,-447.24,662.17, 69.36,-164.57,21.50, 4.74,1.78e+03,3.90e+02
2014,02,19,07,58,5.25,-1632.85,-389.47,670.03, 70.04,-166.58,21.76, 4.61,1.56e+03,3.68e+02
2014,02,19,07,58,6.50,-1633.25,-387.45,670.29, 70.06,-166.65,21.77, 4.60,2.07e+03,4.09e+02
2014,02,19,07,58,7.75,-1633.65,-385.44,670.55, 70.08,-166.72,21.78, 4.60,2.39e+03,4.33e+02
2014,02,19,07,58,26.50,-1639.34,-355.16,674.33, 70.44,-167.78,21.90, 4.53,1.78e+03,3.83e+02
2014,02,19,07,59,2.49,-1648.91,-296.76,681.04, 71.13,-169.80,22.12, 4.39,1.64e+03,3.75e+02
2014,02,19,07,59,3.74,-1649.21,-294.73,681.26, 71.16,-169.87,22.13, 4.39,1.90e+03,3.96e+02
2014,02,19,07,59,4.99,-1649.51,-292.70,681.48, 71.18,-169.94,22.14, 4.38,1.83e+03,3.91e+02
2014,02,19,07,59,23.74,-1653.73,-262.13,684.65, 71.54,-170.99,22.24, 4.31,2.01e+03,4.08e+02
2014,02,19,07,59,59.73,-1660.46,-203.25,690.20, 72.25,-173.02,22.42, 4.18,1.14e+03,3.31e+02
2014,02,19,08,00,0.98,-1660.66,-201.20,690.38, 72.27,-173.09,22.43, 4.17,2.23e+03,4.23e+02
2014,02,19,08,00,2.23,-1660.86,-199.15,690.55, 72.30,-173.16,22.43, 4.17,1.14e+03,3.31e+02
2014,02,19,08,00,20.98,-1663.60,-168.38,693.12, 72.66,-174.22,22.52, 4.10,3.28e+03,4.95e+02
2014,02,19,08,00,56.98,-1667.49,-109.17,697.48, 73.38,-176.25,22.66, 3.96,1.61e+03,3.72e+02
2014,02,19,08,00,58.23,-1667.59,-107.11,697.62, 73.40,-176.32,22.66, 3.96,2.13e+03,4.14e+02
2014,02,19,08,00,59.48,-1667.69,-105.05,697.76, 73.43,-176.40,22.66, 3.95,2.26e+03,4.24e+02
2014,02,19,08,01,18.23,-1668.94,-74.16,699.71, 73.80,-177.46,22.73, 3.88,2.33e+03,4.29e+02
2014,02,19,08,01,54.22,-1669.97,-14.81,702.88, 74.53,-179.49,22.83, 3.75,1.66e+03,3.81e+02
2014,02,19,08,01,55.47,-1669.98,-12.75,702.98, 74.55,-179.56,22.83, 3.74,9.42e+02,3.14e+02
2014,02,19,08,01,56.72,-1669.98,-10.69,703.08, 74.58,-179.63,22.83, 3.74,1.33e+03,3.52e+02
2014,02,19,08,02,15.47,-1669.74, 20.24,704.41, 74.95,179.31,22.87, 3.67,1.59e+03,3.78e+02
2014,02,19,08,02,51.47,-1667.92, 79.61,706.39, 75.68,177.27,22.93, 3.53,1.25e+03,3.52e+02
2014,02,19,08,02,52.72,-1667.83, 81.67,706.44, 75.71,177.20,22.93, 3.52,8.59e+02,3.13e+02
2014,02,19,08,02,53.97,-1667.73, 83.73,706.49, 75.74,177.13,22.93, 3.52,1.32e+03,3.58e+02
2014,02,19,08,03,12.72,-1666.01,114.61,707.20, 76.12,176.06,22.95, 3.45,1.05e+03,3.34e+02
2014,02,19,08,03,48.71,-1661.35,173.79,707.98, 76.85,174.03,22.97, 3.31,1.39e+03,3.65e+02
2014,02,19,08,03,49.96,-1661.15,175.84,708.00, 76.88,173.96,22.97, 3.31,7.99e+02,3.08e+02
2014,02,19,08,03,51.21,-1660.96,177.89,708.01, 76.90,173.89,22.97, 3.30,9.31e+02,3.21e+02
2014,02,19,08,04,9.96,-1657.76,208.65,708.09, 77.29,172.83,22.97, 3.23,9.39e+02,3.21e+02
2014,02,19,08,04,45.96,-1650.27,267.52,707.67, 78.03,170.79,22.94, 3.10,1.36e+03,3.57e+02
2014,02,19,08,04,47.21,-1649.98,269.56,707.64, 78.05,170.72,22.94, 3.09,1.49e+03,3.69e+02
2014,02,19,08,04,48.46,-1649.69,271.60,707.62, 78.08,170.65,22.94, 3.09,1.23e+03,3.44e+02
2014,02,19,08,05,7.21,-1645.03,302.14,707.07, 78.46,169.59,22.92, 3.02,1.71e+03,3.85e+02
2014,02,19,08,05,43.20,-1634.75,360.51,705.46, 79.20,167.56,22.85, 2.88,1.17e+03,3.38e+02
2014,02,19,08,05,44.45,-1634.36,362.53,705.39, 79.23,167.49,22.85, 2.88,1.83e+03,3.97e+02
2014,02,19,08,05,45.70,-1633.97,364.55,705.32, 79.25,167.42,22.85, 2.87,1.43e+03,3.63e+02
2014,02,19,08,06,4.45,-1627.86,394.80,704.16, 79.64,166.37,22.80, 2.80,1.18e+03,3.38e+02
2014,02,19,08,06,40.44,-1614.81,452.53,701.37, 80.38,164.35,22.70, 2.66,8.47e+02,3.06e+02
2014,02,19,08,06,41.69,-1614.33,454.53,701.25, 80.40,164.28,22.69, 2.66,4.48e+02,2.60e+02
2014,02,19,08,06,42.94,-1613.84,456.52,701.14, 80.43,164.20,22.69, 2.65,1.18e+03,3.40e+02
2014,02,19,08,07,1.69,-1606.30,486.39,699.36, 80.81,163.15,22.62, 2.58,7.75e+02,3.00e+02
2014,02,19,08,07,37.69,-1590.53,543.35,695.39, 81.55,161.14,22.48, 2.45,1.21e+03,3.50e+02
2014,02,19,08,07,38.94,-1589.95,545.32,695.24, 81.57,161.07,22.47, 2.44,6.70e+02,2.96e+02
2014,02,19,08,07,40.19,-1589.37,547.28,695.09, 81.60,161.00,22.47, 2.44,1.27e+03,3.57e+02
2014,02,19,08,07,58.94,-1580.42,576.70,692.70, 81.98,159.95,22.38, 2.37,7.54e+02,3.04e+02
2014,02,19,08,08,34.93,-1561.97,632.69,687.56, 82.71,157.95,22.19, 2.23,9.78e+02,3.23e+02
2014,02,19,08,08,36.18,-1561.30,634.62,687.37, 82.73,157.88,22.19, 2.23,1.25e+03,3.49e+02
2014,02,19,08,08,37.43,-1560.63,636.56,687.17, 82.76,157.81,22.18, 2.23,9.13e+02,3.16e+02
2014,02,19,08,08,56.18,-1550.30,665.44,684.18, 83.14,156.77,22.07, 2.16,   NaN,   NaN
