Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,02,08,06,43,27.24,632.75,1642.41,-416.14, 71.21,68.93,-13.30,11.32,7.60e+03,1.48e+03
2014,02,08,06,43,28.49,634.62,1641.82,-415.51, 71.18,68.87,-13.28,11.32,6.72e+03,1.39e+03
2014,02,08,06,43,47.24,662.61,1632.66,-405.95, 70.75,67.91,-12.97,11.25,6.14e+03,1.33e+03
2014,02,08,06,43,48.49,664.47,1632.03,-405.31, 70.73,67.85,-12.95,11.25,9.65e+03,1.67e+03
2014,02,08,06,44,7.24,692.24,1622.37,-395.63, 70.30,66.89,-12.64,11.19,4.38e+03,1.13e+03
2014,02,08,06,44,8.49,694.09,1621.70,-394.98, 70.27,66.83,-12.62,11.18,9.65e+03,1.67e+03
2014,02,08,06,44,27.23,721.63,1611.54,-385.18, 69.85,65.88,-12.31,11.12,8.48e+03,1.57e+03
2014,02,08,06,44,28.48,723.46,1610.84,-384.52, 69.82,65.81,-12.28,11.11,7.31e+03,1.45e+03
2014,02,08,06,44,47.23,750.79,1600.16,-374.59, 69.40,64.86,-11.97,11.05,9.37e+03,1.65e+03
2014,02,08,06,44,48.48,752.61,1599.43,-373.93, 69.37,64.80,-11.94,11.05,7.03e+03,1.43e+03
2014,02,08,06,45,7.22,779.69,1588.26,-363.89, 68.95,63.85,-11.62,10.98,5.27e+03,1.24e+03
2014,02,08,06,45,8.47,781.49,1587.50,-363.22, 68.92,63.79,-11.60,10.98,6.15e+03,1.33e+03
2014,02,08,06,45,27.22,808.34,1575.82,-353.06, 68.50,62.84,-11.27,10.92,8.21e+03,1.54e+03
2014,02,08,06,45,28.47,810.12,1575.02,-352.38, 68.47,62.78,-11.25,10.91,5.86e+03,1.30e+03
2014,02,08,06,45,47.22,836.72,1562.85,-342.11, 68.05,61.84,-10.92,10.85,7.04e+03,1.43e+03
2014,02,08,06,45,48.47,838.48,1562.02,-341.43, 68.02,61.77,-10.90,10.84,4.98e+03,1.20e+03
2014,02,08,06,46,7.22,864.82,1549.36,-331.05, 67.60,60.83,-10.57,10.78,5.57e+03,1.27e+03
2014,02,08,06,46,8.47,866.57,1548.50,-330.36, 67.57,60.77,-10.55,10.78,9.68e+03,1.67e+03
2014,02,08,06,46,27.22,892.63,1535.35,-319.88, 67.15,59.83,-10.21,10.71,4.99e+03,1.20e+03
2014,02,08,06,46,28.47,894.36,1534.45,-319.18, 67.12,59.76,-10.19,10.71,7.92e+03,1.52e+03
2014,02,08,06,46,47.22,920.14,1520.82,-308.60, 66.70,58.82,-9.85,10.65,5.29e+03,1.24e+03
2014,02,08,06,46,48.47,921.85,1519.90,-307.90, 66.68,58.76,-9.83,10.64,6.17e+03,1.34e+03
2014,02,08,06,47,7.21,947.33,1505.79,-297.23, 66.26,57.83,-9.49,10.58,8.23e+03,1.55e+03
2014,02,08,06,47,8.46,949.02,1504.84,-296.51, 66.23,57.76,-9.46,10.58,5.58e+03,1.27e+03
2014,02,08,06,47,27.21,974.21,1490.25,-285.75, 65.82,56.83,-9.12,10.52,3.82e+03,1.05e+03
2014,02,08,06,47,28.46,975.88,1489.26,-285.03, 65.79,56.76,-9.09,10.51,6.18e+03,1.34e+03
2014,02,08,06,47,47.21,1000.77,1474.21,-274.17, 65.37,55.83,-8.75,10.45,8.83e+03,1.60e+03
2014,02,08,06,47,48.46,1002.42,1473.19,-273.45, 65.35,55.77,-8.72,10.44,3.82e+03,1.05e+03
2014,02,08,06,48,7.21,1026.99,1457.67,-262.51, 64.93,54.83,-8.37,10.38,5.30e+03,1.24e+03
2014,02,08,06,48,8.46,1028.62,1456.62,-261.77, 64.91,54.77,-8.35,10.38,7.07e+03,1.43e+03
2014,02,08,06,48,27.20,1052.85,1440.64,-250.76, 64.50,53.84,-8.00,10.32,7.67e+03,1.49e+03
2014,02,08,06,48,28.45,1054.46,1439.56,-250.02, 64.47,53.78,-7.98,10.31,7.37e+03,1.47e+03
2014,02,08,06,48,47.20,1078.38,1423.13,-238.92, 64.06,52.85,-7.62,10.25,5.90e+03,1.31e+03
2014,02,08,06,48,48.45,1079.96,1422.02,-238.17, 64.03,52.78,-7.60,10.25,2.95e+03,9.27e+02
2014,02,08,06,49,7.20,1103.53,1405.13,-227.00, 63.63,51.86,-7.24,10.18,7.68e+03,1.50e+03
2014,02,08,06,49,8.45,1105.09,1403.99,-226.25, 63.60,51.79,-7.22,10.18,7.38e+03,1.47e+03
2014,02,08,06,49,27.20,1128.32,1386.66,-215.00, 63.20,50.86,-6.86,10.12,5.61e+03,1.28e+03
2014,02,08,06,49,28.45,1129.85,1385.49,-214.25, 63.17,50.80,-6.83,10.11,5.91e+03,1.31e+03
2014,02,08,06,49,47.20,1152.72,1367.72,-202.93, 62.77,49.88,-6.47,10.05,3.55e+03,1.02e+03
2014,02,08,06,49,48.45,1154.23,1366.52,-202.17, 62.74,49.81,-6.45,10.05,6.80e+03,1.41e+03
2014,02,08,06,50,7.20,1176.74,1348.31,-190.79, 62.34,48.89,-6.09, 9.99,8.58e+03,1.58e+03
2014,02,08,06,50,8.45,1178.22,1347.09,-190.03, 62.31,48.83,-6.06, 9.98,9.17e+03,1.64e+03
2014,02,08,06,50,27.19,1200.34,1328.47,-178.60, 61.92,47.90,-5.70, 9.92,5.93e+03,1.32e+03
2014,02,08,06,50,28.44,1201.80,1327.21,-177.83, 61.89,47.84,-5.67, 9.92,6.81e+03,1.41e+03
2014,02,08,06,50,47.19,1223.55,1308.16,-166.34, 61.49,46.91,-5.31, 9.86,5.63e+03,1.28e+03
2014,02,08,06,50,48.44,1224.99,1306.87,-165.57, 61.47,46.85,-5.28, 9.85,6.22e+03,1.35e+03
2014,02,08,06,51,7.19,1246.35,1287.41,-154.02, 61.08,45.93,-4.91, 9.79,5.63e+03,1.28e+03
2014,02,08,06,51,8.44,1247.76,1286.09,-153.25, 61.05,45.87,-4.89, 9.79,1.07e+04,1.77e+03
2014,02,08,06,51,27.19,1268.72,1266.22,-141.65, 60.66,44.94,-4.52, 9.73,5.94e+03,1.32e+03
2014,02,08,06,51,28.44,1270.10,1264.88,-140.88, 60.63,44.88,-4.49, 9.72,9.20e+03,1.64e+03
2014,02,08,06,51,47.19,1290.66,1244.60,-129.23, 60.25,43.96,-4.12, 9.66,6.54e+03,1.39e+03
2014,02,08,06,51,48.44,1292.02,1243.23,-128.46, 60.22,43.90,-4.10, 9.66,6.54e+03,1.39e+03
